sim_time, /gazebo/default/Melman/Left_Arm/MPU6050sensor/imu?p=/angular_velocity/x
12.799, 0.129344
12.849, 0.115282
12.899, 0.111003
12.949, 0.111673
12.999, 0.100545
13.049, 0.101109
13.099, 0.0921468
13.149, 0.0894767
13.199, 0.0854728
13.249, 0.0727427
13.299, 0.0695702
13.349, 0.0679395
13.399, 0.0692012
13.449, 0.0626044
13.499, 0.0537197
13.549, 0.0781676
13.599, 0.0516007
13.649, 0.0746773
13.699, 0.0483707
13.749, 0.0515859
13.799, 0.0456271
13.849, 0.0377825
13.899, 0.00575
13.949, 0.0378636
13.999, -0.260486
14.049, 0.0196203
14.099, -0.0114565
14.149, 0.00755161
14.199, 0.0113083
14.249, 0.0151182
14.299, -0.019071
14.349, -0.019479
14.399, -0.00729328
14.449, -0.00854319
14.499, -0.0180824
14.549, -0.00252967
14.599, 6.72616e-05
14.649, -0.0132779
14.699, -0.0317128
14.749, -0.0280837
14.799, -0.0395048
14.849, -0.0317278
14.899, -0.0384028
14.949, -0.0297229
14.999, -0.0458316
15.049, -0.0465324
15.099, -0.0680894
15.149, -0.0572803
15.199, -0.0781429
15.249, -0.0705607
15.299, -0.10221
15.349, -0.0979608
15.399, -0.0757248
15.449, -0.124119
15.499, -0.128838
15.549, -0.133227
15.599, -0.123132
15.649, -0.13567
15.699, -0.167835
15.749, -0.152404
15.799, -0.136191
15.849, -0.170928
15.899, -0.181068
15.949, -0.164087
15.999, -0.201523
16.049, -0.210997
16.099, -0.190368
16.149, -0.188032
16.199, -0.204764
16.249, -0.231004
16.299, -0.212268
16.349, -0.26729
16.399, -0.263124
16.449, -0.256233
16.499, -0.237604
16.549, -0.278988
16.599, -0.268468
16.649, -0.327867
16.699, -0.318751
16.749, -0.334354
16.798, -0.363558
16.849, -0.352271
16.899, -0.359089
16.949, -0.362807
16.999, 0.643319
17.049, 0.328214
17.099, 0.335967
17.149, 0.347509
17.199, 0.344169
17.249, 0.301783
17.299, 0.293942
17.349, 0.287852
17.399, 0.275244
17.449, 0.256657
17.499, 0.278843
17.549, 0.259614
17.599, 0.26119
17.649, 0.295707
17.699, 0.263033
17.749, 0.245477
17.799, 0.217195
17.849, 0.230728
17.899, 0.185173
17.949, 0.172684
17.999, 0.15764
18.049, 0.201311
18.099, 0.134004
18.149, 0.140051
18.199, 0.151428
18.249, 0.156448
18.299, 0.183295
18.349, 0.150868
18.399, 0.139644
18.449, 0.152802
18.499, 0.127805
18.549, 0.116563
18.599, 0.0666874
18.649, 0.0674152
18.699, 0.0584243
18.749, 0.0447668
18.799, 0.045797
18.849, 0.153778
18.899, 0.167066
18.949, 0.21533
18.999, 0.127736
19.049, 0.042546
19.099, 0.00539258
19.149, 0.132266
19.199, 0.110671
19.249, 0.156877
19.299, 0.0261653
19.349, 0.0247102
19.399, 0.00685274
19.449, 0.0426249
19.499, 0.0284665
19.549, 0.0701395
19.599, 0.0447525
19.649, 0.118842
19.699, -0.0293147
19.749, 0.0521824
19.799, -0.00977511
19.849, 0.0334302
19.899, 0.0608262
19.949, 0.0413855
19.999, -0.265801
20.049, 0.0211028
20.099, -0.0359994
20.149, 0.103652
20.199, 0.102373
20.249, 0.10211
20.299, 0.0863098
20.349, 0.0652331
20.399, 0.0522017
20.449, 0.0436177
20.499, 0.048065
20.549, 0.0597277
20.599, 0.0667931
20.649, 0.0592173
