sim_time, /gazebo/default/Melman/Left_Arm/MPU6050sensor/imu?p=/linear_acceleration/x
15.799, -0.48758
15.849, -0.810154
15.899, -1.19728
15.949, -1.36923
15.999, -1.80813
16.049, -1.98078
16.099, -2.4522
16.149, -2.58187
16.199, -2.90087
16.249, -3.38903
16.299, -3.50952
16.349, -3.96007
16.399, -4.1355
16.449, -4.38015
16.499, -4.7027
16.549, -4.92527
16.599, -5.17125
16.649, -5.38902
16.699, -5.61936
16.749, -5.93433
16.798, -6.10929
16.849, -6.33269
16.899, -6.57167
16.949, -6.76969
16.999, -7.0122
17.049, -6.01941
17.099, -6.47711
17.149, -6.23969
17.199, -5.99926
17.249, -5.90431
17.299, -5.72548
17.349, -5.50031
17.399, -5.17648
17.449, -4.85699
17.499, -4.59469
17.549, -4.34707
17.599, -4.20734
17.649, -3.91774
17.699, -3.51528
17.749, -3.09758
17.799, -2.93669
17.849, -2.56658
17.899, -2.51669
17.949, -1.90253
17.999, -1.70255
18.049, -1.35912
18.099, -0.960857
18.149, -0.806745
18.199, -0.571534
18.249, -0.290805
18.299, -0.135928
18.349, 0.737137
18.399, 0.981682
18.449, 1.2918
18.499, 1.6233
18.549, 1.75174
18.599, 1.96785
18.649, 2.40771
18.699, 2.77086
18.749, 3.0529
18.799, 3.36378
18.849, 2.99924
18.899, 3.5703
18.949, 3.68859
18.999, 4.41812
19.049, 5.08228
19.099, 5.16072
19.149, 4.83972
19.199, 5.16259
19.249, 4.98355
19.299, 5.58553
19.349, 5.81459
19.399, 6.16582
19.449, 6.2684
19.499, 6.24525
19.549, 6.17292
19.599, 6.33347
19.649, 6.65922
19.699, 6.91896
19.749, 6.56887
19.799, 6.64616
19.849, 6.79926
19.899, 7.09169
19.949, 6.92464
19.999, 7.19441
20.049, 6.96997
20.099, 6.96759
20.149, 6.774
20.199, 6.84028
20.249, 6.79267
20.299, 6.61453
20.349, 6.43516
20.399, 6.38291
20.449, 6.36603
20.499, 6.24763
20.549, 6.08703
20.599, 5.93731
20.649, 5.75598
