sim_time, /gazebo/default/Melman/Left_Arm/MPU6050sensor/imu?p=/linear_acceleration/z
14.749, 3.47077
14.799, 3.61358
14.849, 3.74011
14.899, 3.89535
14.949, 4.06322
14.999, 4.24231
15.049, 4.37625
15.099, 4.48121
15.149, 4.54075
15.199, 4.63728
15.249, 4.67916
15.299, 4.77305
15.349, 4.8193
15.399, 4.85622
15.449, 4.90383
15.499, 4.90962
15.549, 4.85349
15.599, 4.82862
15.649, 4.84677
15.699, 4.74699
15.749, 4.62817
15.799, 4.70291
15.849, 4.49057
15.899, 4.42156
15.949, 4.28627
15.999, 4.2299
16.049, 4.05377
16.099, 3.92066
16.149, 3.80717
16.199, 3.48657
16.249, 3.34934
16.299, 3.37687
16.349, 3.05018
16.399, 2.74196
16.449, 2.62923
16.499, 2.44499
16.549, 2.07626
16.599, 1.96965
16.649, 1.66517
16.699, 1.51365
16.749, 1.14777
16.798, 0.984735
16.849, 0.67956
16.899, 0.434308
16.949, 0.233626
16.999, 1.25071
17.049, 0.245149
17.099, 0.407446
17.149, 0.75525
17.199, 1.1386
17.249, 1.34302
17.299, 1.57211
17.349, 1.81577
17.399, 2.07443
17.449, 2.29201
17.499, 2.44827
17.549, 2.53794
17.599, 2.76898
17.649, 3.14065
17.699, 3.33712
17.749, 3.52065
17.799, 3.74433
17.849, 3.89227
17.899, 4.1303
17.949, 4.13727
17.999, 4.34632
18.049, 4.47081
18.099, 4.50184
18.149, 4.60694
18.199, 4.39081
18.249, 4.49039
18.299, 4.94248
18.349, 4.79791
18.399, 4.88903
18.449, 4.90277
18.499, 4.9139
18.549, 5.02381
18.599, 5.05778
18.649, 4.90387
18.699, 4.80437
18.749, 4.73797
18.799, 4.66314
18.849, 4.8983
18.899, 4.0013
18.949, 4.1303
18.999, 4.04594
19.049, 4.33041
19.099, 4.22351
19.149, 4.09188
19.199, 2.94327
19.249, 3.51852
19.299, 3.14615
19.349, 3.42521
19.399, 2.90536
19.449, 2.34871
19.499, 2.01994
19.549, 2.13526
19.599, 1.8167
19.649, 2.15875
19.699, 1.52048
19.749, 1.54189
19.799, 0.524972
19.849, 0.606924
19.899, 0.324803
19.949, 0.0711394
19.999, -0.587327
20.049, 0.0911582
20.099, 0.390207
20.149, 0.913894
20.199, 0.737373
20.249, 1.18789
20.299, 1.56461
20.349, 1.90534
20.399, 2.16121
20.449, 2.25344
20.499, 2.32461
20.549, 2.47313
20.599, 2.75435
20.649, 3.07288
