sim_time, /gazebo/default/Melman/Left_Arm/MPU6050sensor/imu?p=/angular_velocity/y
14.749, 0.697452
14.799, 0.704145
14.849, 0.696127
14.899, 0.705974
14.949, 0.692162
14.999, 0.695024
15.049, 0.678454
15.099, 0.685671
15.149, 0.660291
15.199, 0.674841
15.249, 0.660545
15.299, 0.650323
15.349, 0.652374
15.399, 0.621417
15.449, 0.611839
15.499, 0.596373
15.549, 0.616323
15.599, 0.597078
15.649, 0.579336
15.699, 0.553092
15.749, 0.572403
15.799, 0.524085
15.849, 0.551597
15.899, 0.545146
15.949, 0.567313
15.999, 0.57058
16.049, 0.55644
16.099, 0.471531
16.149, 0.486105
16.199, 0.525799
16.249, 0.53449
16.299, 0.49355
16.349, 0.468905
16.399, 0.490924
16.449, 0.471549
16.499, 0.442881
16.549, 0.46618
16.599, 0.433476
16.649, 0.461108
16.699, 0.405902
16.749, 0.395562
16.798, 0.403213
16.849, 0.419421
16.899, 0.405765
16.949, 0.392901
16.999, -0.401452
17.049, -0.381341
17.099, -0.388241
17.149, -0.403145
17.199, -0.412405
17.249, -0.402547
17.299, -0.408466
17.349, -0.431943
17.399, -0.432214
17.449, -0.449463
17.499, -0.496419
17.549, -0.481009
17.599, -0.506649
17.649, -0.549674
17.699, -0.532797
17.749, -0.512859
17.799, -0.529039
17.849, -0.527273
17.899, -0.591618
17.949, -0.534758
17.999, -0.554058
18.049, -0.589502
18.099, -0.560572
18.149, -0.61205
18.199, -0.609892
18.249, -0.611047
18.299, -0.727293
18.349, -0.646437
18.399, -0.637924
18.449, -0.638144
18.499, -0.630277
18.549, -0.661176
18.599, -0.766627
18.649, -0.66949
18.699, -0.675119
18.749, -0.673451
18.799, -0.670284
18.849, -0.854388
18.899, -0.791237
18.949, -0.810002
18.999, -0.738282
19.049, -0.713003
19.099, -0.746229
19.149, -0.92658
19.199, -0.789114
19.249, -0.848035
19.299, -0.72526
19.349, -0.783281
19.399, -0.816765
19.449, -0.761042
19.499, -0.703616
19.549, -0.734091
19.599, -0.69556
19.649, -0.825529
19.699, -0.744484
19.749, -0.84561
19.799, -0.753037
19.849, -0.773172
19.899, -0.760924
19.949, -0.730653
19.999, 0.580942
20.049, 0.689245
20.099, 0.725878
20.149, 0.650289
20.199, 0.687023
20.249, 0.696755
20.299, 0.694645
20.349, 0.675338
20.399, 0.648319
20.449, 0.643148
20.499, 0.653814
20.549, 0.669529
20.599, 0.677456
20.649, 0.677704
