sim_time, /gazebo/default/Melman/Right_Thigh/MPU6050sensor/imu?p=/linear_acceleration/x
15.799, 7.53048
15.849, 7.54519
15.899, 7.50689
15.949, 7.48622
15.999, 7.50865
16.049, 7.53477
16.099, 7.52865
16.149, 7.49949
16.199, 7.49549
16.249, 7.51421
16.299, 7.52643
16.349, 7.51848
16.399, 7.5048
16.449, 7.50622
16.499, 7.51745
16.549, 7.5169
16.599, 7.51101
16.649, 7.50827
16.698, 7.61928
16.749, 7.41588
16.799, 7.51492
16.849, 7.50913
16.899, 7.51041
16.949, 7.51415
16.999, 7.51484
17.049, 7.51321
17.099, 7.51194
17.149, 7.51257
17.199, 7.51337
17.249, 7.51289
17.299, 7.51199
17.349, 7.51217
17.399, 7.51334
17.449, 7.51396
17.499, 7.51319
17.549, 7.51209
17.599, 7.5119
17.649, 7.51263
17.699, 7.51328
17.749, 7.51325
17.799, 7.51287
17.849, 7.51265
17.899, 7.51266
17.949, 7.51264
17.999, 7.51258
18.049, 7.51269
18.099, 7.51294
18.149, 7.51307
18.199, 7.51289
18.249, 7.51257
18.299, 7.51244
18.349, 7.51259
18.399, 7.51287
18.449, 7.51294
18.499, 7.51284
18.549, 7.51278
18.599, 7.51275
18.649, 7.51262
18.699, 7.51251
18.749, 7.51265
18.799, 7.51293
18.849, 7.51294
18.899, 7.51267
18.949, 7.51249
18.999, 7.51259
19.049, 7.51273
19.099, 7.51266
19.149, 7.5126
19.199, 7.51273
19.249, 7.51281
19.299, 7.51262
19.349, 7.51237
19.399, 7.51246
19.449, 7.51276
19.499, 7.5128
19.549, 7.51253
19.599, 7.5124
19.649, 7.51258
19.699, 7.51268
