sim_time, /gazebo/default/Melman/Right_Thigh/MPU6050sensor/imu?p=/angular_velocity/z
12.249, -0.0257177
12.299, -0.0181402
12.348, -0.00458814
12.399, 0.00916743
12.449, -0.0217285
12.499, -0.010755
12.549, -0.00705828
12.599, 0.00899257
12.649, -0.00729267
12.699, -0.0133672
12.749, 0.0116708
12.799, -0.00326882
12.849, 0.00627352
12.899, -0.00526177
12.949, -0.00640261
12.999, 0.00511143
13.049, 0.00843602
13.099, -0.00271482
13.149, -0.0067003
13.199, -0.028295
13.249, -0.0237751
13.299, -0.0276826
13.349, -0.0394466
13.399, -0.0391764
13.449, -0.0237879
13.499, -0.0230503
13.549, -0.0354316
13.599, -0.0404041
13.649, -0.0343803
13.699, -0.0278408
13.749, -0.029951
13.798, 0.0220608
13.849, -0.0377161
13.899, -0.0296761
13.949, -0.0259738
13.999, -0.0282846
14.049, -0.0322415
14.099, -0.0329887
14.149, -0.0259286
14.199, -0.0264962
14.249, -0.0420508
14.299, -0.0409991
14.349, -0.0300461
14.399, -0.0289346
14.449, -0.0376418
14.499, -0.0321409
14.549, -0.0232605
14.599, -0.0344381
14.649, -0.0440879
14.699, -0.0360512
14.749, -0.0311317
14.799, -0.0352145
14.849, -0.0381126
14.899, -0.0266959
14.949, -0.0257244
14.999, -0.0386212
15.049, -0.0349008
15.099, -0.0251096
15.149, -0.0265772
15.199, -0.0392976
15.249, -0.0365128
15.299, -0.0234469
15.349, -0.0241404
15.399, -0.0398842
15.449, -0.0385226
15.499, -0.0248116
15.549, -0.0227457
15.599, -0.0387932
15.649, -0.0405529
15.699, -0.0264895
15.749, -0.0227395
15.799, -0.0347163
15.849, -0.0403921
15.899, -0.0317099
15.949, -0.0225629
15.999, -0.025762
16.049, -0.034159
16.099, -0.0343381
16.149, -0.0279998
16.199, -0.0244698
16.249, -0.0287961
16.299, -0.0329389
16.349, -0.0309652
16.399, -0.0272569
16.449, -0.0277344
16.499, -0.0304127
16.549, -0.03183
16.599, -0.0290582
16.649, -0.0275272
16.698, 0.0182808
16.749, -0.0308741
16.799, -0.0295119
16.849, -0.0283665
16.899, -0.0281885
16.949, -0.0289344
16.999, -0.0294466
17.049, -0.0290382
17.099, -0.0284994
17.149, -0.0285592
17.199, -0.0289969
17.249, -0.0291525
17.299, -0.02886
17.349, -0.0285964
17.399, -0.0286901
17.449, -0.0289328
17.499, -0.028956
17.549, -0.028763
17.599, -0.0286452
17.649, -0.0287284
17.699, -0.0288426
17.749, -0.0288132
17.799, -0.0286965
17.849, -0.0286542
17.899, -0.0287095
17.949, -0.0287505
17.999, -0.0287069
18.049, -0.0286369
18.099, -0.0286215
18.149, -0.028651
18.199, -0.0286565
18.249, -0.0286181
18.299, -0.0285762
18.349, -0.0285705
18.399, -0.0285753
18.449, -0.028552
18.499, -0.0285145
18.549, -0.0284953
18.599, -0.0284749
18.649, -0.0284076
18.699, -0.0283197
18.749, -0.0282846
18.799, -0.0282993
18.849, -0.0282853
18.899, -0.0282153
18.949, -0.0281482
18.999, -0.0281247
19.049, -0.0280991
19.099, -0.0280301
19.149, -0.0279697
19.199, -0.027965
19.249, -0.0279648
19.299, -0.0278934
19.349, -0.0277891
19.399, -0.0277453
19.449, -0.027758
19.499, -0.0277314
19.549, -0.0276424
19.599, -0.0275779
19.649, -0.0275781
19.699, -0.0275544
