sim_time, /gazebo/default/Melman/Right_Thigh/MPU6050sensor/imu?p=/linear_acceleration/z
14.999, 3.9062
15.049, 3.93499
15.099, 3.921
15.149, 3.90441
15.199, 3.90883
15.249, 3.92572
15.299, 3.90732
15.349, 3.89172
15.399, 3.90926
15.449, 3.93751
15.499, 3.91687
15.549, 3.89565
15.599, 3.89912
15.649, 3.92445
15.699, 3.9153
15.749, 3.89836
15.799, 3.91042
15.849, 3.91769
15.899, 3.92383
15.949, 3.90605
15.999, 3.89325
16.049, 3.90445
16.099, 3.91644
16.149, 3.91595
16.199, 3.90905
16.249, 3.90267
16.299, 3.90775
16.349, 3.91191
16.399, 3.90766
16.449, 3.90279
16.499, 3.90916
16.549, 3.91187
16.599, 3.91462
16.649, 3.90713
16.698, 4.08136
16.749, 3.73421
16.799, 3.91283
16.849, 3.9098
16.899, 3.90937
16.949, 3.90896
16.999, 3.90782
17.049, 3.90734
17.099, 3.90718
17.149, 3.90776
17.199, 3.90889
17.249, 3.90945
17.299, 3.90896
17.349, 3.90777
17.399, 3.90705
17.449, 3.90729
17.499, 3.9081
17.549, 3.90869
17.599, 3.90869
17.649, 3.90828
17.699, 3.90779
17.749, 3.90747
17.799, 3.90745
17.849, 3.90775
17.899, 3.90817
17.949, 3.90837
17.999, 3.90816
18.049, 3.90769
18.099, 3.90734
18.149, 3.90736
18.199, 3.90767
18.249, 3.90795
18.299, 3.90801
18.349, 3.90785
18.399, 3.90752
18.449, 3.90734
18.499, 3.90737
18.549, 3.90753
18.599, 3.90768
18.649, 3.90765
18.699, 3.90746
18.749, 3.90723
18.799, 3.90707
18.849, 3.90708
18.899, 3.90722
18.949, 3.90731
18.999, 3.90727
19.049, 3.9071
19.099, 3.90691
19.149, 3.90681
19.199, 3.90681
19.249, 3.90689
19.299, 3.90694
19.349, 3.90688
19.399, 3.90673
19.449, 3.90657
19.499, 3.90649
19.549, 3.90651
19.599, 3.90656
19.649, 3.90657
19.699, 3.9065
