sim_time, /gazebo/default/Melman/Right_Thigh/MPU6050sensor/imu?p=/angular_velocity/x
12.649, -0.109743
12.699, -0.141539
12.749, -0.173192
12.799, -0.182795
12.849, -0.128779
12.899, -0.112593
12.949, -0.103846
12.999, -0.110963
13.049, -0.119711
13.099, -0.121734
13.149, -0.121713
13.199, -0.10067
13.249, -0.0931014
13.299, 0.0614463
13.349, 0.0668323
13.399, 0.0673683
13.449, 0.057148
13.499, 0.0560325
13.549, 0.0595878
13.599, 0.0566707
13.649, 0.0539059
13.699, 0.0573678
13.749, 0.0654427
13.798, -0.0360002
13.849, 0.0634495
13.899, 0.0516367
13.949, 0.048832
13.999, 0.053793
14.049, 0.0595414
14.099, 0.0612201
14.149, 0.0565787
14.199, 0.0575714
14.249, 0.0682544
14.299, 0.0640205
14.349, 0.0574127
14.399, 0.0587819
14.449, 0.0666303
14.499, 0.0601901
14.549, 0.0528388
14.599, 0.0595231
14.649, 0.0677129
14.699, 0.0614553
14.749, 0.0627588
14.799, 0.0648465
14.849, 0.0654137
14.899, 0.0541994
14.949, 0.0564389
14.999, 0.0628754
15.049, 0.060581
15.099, 0.0549936
15.149, 0.0613246
15.199, 0.0677202
15.249, 0.0612519
15.299, 0.0519487
15.349, 0.0572271
15.399, 0.0663837
15.449, 0.0616958
15.499, 0.0540149
15.549, 0.0583859
15.599, 0.0674974
15.649, 0.0640755
15.699, 0.0529565
15.749, 0.0562935
15.799, 0.068234
15.849, 0.0684091
15.899, 0.0590776
15.949, 0.0549554
15.999, 0.0601188
16.049, 0.0649408
16.099, 0.0603901
16.149, 0.0564801
16.199, 0.056862
16.249, 0.0622401
16.299, 0.0635607
16.349, 0.0592383
16.399, 0.0567056
16.449, 0.0593568
16.499, 0.0614118
16.549, 0.0621787
16.599, 0.058975
16.649, 0.0583089
16.698, -0.0394284
16.749, 0.0611067
16.799, 0.0584022
16.849, 0.0581163
16.899, 0.0585899
16.949, 0.0593167
16.999, 0.0591993
17.049, 0.0586089
17.099, 0.0581406
17.149, 0.0582374
17.199, 0.0586248
17.249, 0.0588577
17.299, 0.0587742
17.349, 0.0586175
17.399, 0.0585328
17.449, 0.0584736
17.499, 0.0583855
17.549, 0.0583595
17.599, 0.0584832
17.649, 0.058642
17.699, 0.0586421
17.749, 0.0584558
17.799, 0.0582596
17.849, 0.0582233
17.899, 0.058327
17.949, 0.0584316
17.999, 0.058441
18.049, 0.0583707
18.099, 0.0582813
18.149, 0.0582091
18.199, 0.058167
18.249, 0.0581709
18.299, 0.0582121
18.349, 0.0582617
18.399, 0.0582373
18.449, 0.0581451
18.499, 0.0580722
18.549, 0.0580658
18.599, 0.0580868
18.649, 0.058068
18.699, 0.0580248
18.749, 0.0580037
18.799, 0.0579742
18.849, 0.0579008
