sim_time, /gazebo/default/Melman/Right_Thigh/MPU6050sensor/imu?p=/angular_velocity/y
14.599, -0.0343736
14.649, -0.0411922
14.699, -0.0385833
14.749, -0.0431345
14.799, -0.0489261
14.849, -0.0472817
14.899, -0.0415102
14.949, -0.0428884
14.999, -0.0437655
15.049, -0.0433238
15.099, -0.0431785
15.149, -0.0482751
15.199, -0.0483372
15.249, -0.0433772
15.299, -0.0400101
15.349, -0.0439987
15.399, -0.0460367
15.449, -0.0428719
15.499, -0.0424759
15.549, -0.0473997
15.599, -0.0482927
15.649, -0.043547
15.699, -0.0395873
15.749, -0.0444513
15.799, -0.0478716
15.849, -0.0447165
15.899, -0.04004
15.949, -0.0402462
15.999, -0.0433853
16.049, -0.0427906
16.099, -0.038744
16.149, -0.0379462
16.199, -0.0406209
16.249, -0.0438737
16.299, -0.0430133
16.349, -0.0395842
16.399, -0.0385368
16.449, -0.0407338
16.499, -0.0418328
16.549, -0.0420367
16.599, -0.0406316
16.649, -0.0406743
16.698, 0.0235339
16.749, -0.0411135
16.799, -0.0394155
16.849, -0.0398295
16.899, -0.0406577
16.949, -0.0410249
16.999, -0.0406819
17.049, -0.0400798
17.099, -0.0397587
17.149, -0.0398631
17.199, -0.0401528
17.249, -0.0404027
17.299, -0.0404915
17.349, -0.0404323
17.399, -0.0402277
17.449, -0.039972
17.499, -0.0398434
17.549, -0.0399612
17.599, -0.0402312
17.649, -0.0404038
17.699, -0.0403251
17.749, -0.0400782
17.799, -0.0398759
17.849, -0.0398523
17.899, -0.0399704
17.949, -0.0401065
17.999, -0.0401602
18.049, -0.0401059
18.099, -0.039979
18.149, -0.0398497
18.199, -0.0397901
18.249, -0.0398311
18.299, -0.0399251
18.349, -0.0399779
18.399, -0.0399249
18.449, -0.0397977
18.499, -0.0396731
18.549, -0.0396002
18.599, -0.0395769
18.649, -0.0395741
18.699, -0.0395642
18.749, -0.0395125
18.799, -0.0394009
18.849, -0.0392694
18.899, -0.0391865
18.949, -0.0391697
18.999, -0.0391674
19.049, -0.0391232
19.099, -0.0390371
19.149, -0.0389436
19.199, -0.0388527
19.249, -0.0387688
19.299, -0.0387081
19.349, -0.0386834
19.399, -0.0386571
19.449, -0.0385778
19.499, -0.0384539
19.549, -0.0383509
19.599, -0.0383
19.649, -0.0382622
19.699, -0.0381951
