sim_time, one_dynamixel_simulation/joint1?0/position
5.141, 0.00500566
5.142, 0.00500566
5.143, 0.00500566
5.144, 0.00500566
5.145, 0.00500566
5.146, 0.00500566
5.147, 0.00500566
5.148, 0.00500566
5.149, 0.00500566
5.15, 0.00500566
5.151, 0.00500566
5.152, 0.00500566
5.153, 0.00500566
5.154, 0.00500566
5.155, 0.00500566
5.156, 0.00500566
5.157, 0.00500566
5.158, 0.00500566
5.159, 0.00500566
5.16, 0.00500566
5.161, 0.00500566
5.162, 0.00500566
5.163, 0.00500566
5.164, 0.00500566
5.165, 0.00500566
5.166, 0.00500566
5.167, 0.00500566
5.168, 0.00500566
5.169, 0.00500566
5.17, 0.00500566
5.171, 0.00500566
5.172, 0.00500566
5.173, 0.00500566
5.174, 0.00500566
5.175, 0.00500566
5.176, 0.00500566
5.177, 0.00500566
5.178, 0.00500566
5.179, 0.00500566
5.18, 0.00500566
5.181, 0.00500566
5.182, 0.00500566
5.183, 0.00500566
5.184, 0.00500566
5.185, 0.00500566
5.186, 0.00500566
5.187, 0.00500566
5.188, 0.00500566
5.189, 0.00500566
5.19, 0.00500566
5.191, 0.00500566
5.192, 0.00500566
5.193, 0.00500566
5.194, 0.00500566
5.195, 0.00500566
5.196, 0.00500566
5.197, 0.00500566
5.198, 0.00500566
5.199, 0.00500566
5.2, 0.00500566
5.201, 0.00500566
5.202, 0.00500566
5.203, 0.00500566
5.204, 0.00500566
5.205, 0.00500566
5.206, 0.00500566
5.207, 0.00500566
5.208, 0.00500566
5.209, 0.00500566
5.21, 0.00500566
5.211, 0.00500566
5.212, 0.00500566
5.213, 0.00500566
5.214, 0.00500566
5.215, 0.00500566
5.216, 0.00500566
5.217, 0.00500566
5.218, 0.00500566
5.219, 0.00500566
5.22, 0.00500566
5.221, 0.00500566
5.222, 0.00500566
5.223, 0.00500566
5.224, 0.00500566
5.225, 0.00500566
5.226, 0.00500566
5.227, 0.00500566
5.228, 0.00500566
5.229, 0.00500566
5.23, 0.00500566
5.231, 0.00500566
5.232, 0.00500566
5.233, 0.00500566
5.234, 0.00500566
5.235, 0.00500566
5.236, 0.00500566
5.237, 0.00500566
5.238, 0.00500566
5.239, 0.00500566
5.24, 0.00500566
5.241, 0.00500566
5.242, 0.00500566
5.243, 0.00500566
5.244, 0.00500566
5.245, 0.00500566
5.246, 0.00500566
5.247, 0.00500566
5.248, 0.00500566
5.249, 0.00500566
5.25, 0.00500566
5.251, 0.00500566
5.252, 0.00500566
5.253, 0.00500566
5.254, 0.00500566
5.255, 0.00500566
5.256, 0.00500566
5.257, 0.00500566
5.258, 0.00500566
5.259, 0.00500566
5.26, 0.00500566
5.261, 0.00500566
5.262, 0.00500566
5.263, 0.00500566
5.264, 0.00500566
5.265, 0.00500566
5.266, 0.00500566
5.267, 0.00500566
5.268, 0.00500566
5.269, 0.00500566
5.27, 0.00500566
5.271, 0.00500566
5.272, 0.00500566
5.273, 0.00500566
5.274, 0.00500566
5.275, 0.00500566
5.276, 0.00500566
5.277, 0.00500566
5.278, 0.00500566
