sim_time, /gazebo/default/one_dynamixel_simulation/link2/MPU6050sensor/imu?p=/angular_velocity/z
2.718, 1.40502e-21
2.768, 4.79341e-21
2.818, 4.79416e-21
2.868, 4.80664e-21
2.918, 1.75818e-21
2.968, -2.44245e-21
3.018, 1.39701e-21
3.068, -2.25575e-20
3.118, 1.40957e-21
3.168, 1.40882e-21
3.218, 4.79714e-21
3.268, 4.79408e-21
3.318, 1.4039e-21
3.368, 8.1808e-21
3.418, -1.98147e-21
3.468, -1.98304e-21
3.518, 4.86459e-21
3.568, -1.62969e-21
3.618, 4.78384e-21
3.668, -1.96281e-20
3.718, 1.40763e-21
3.768, -1.97931e-21
3.818, 1.40901e-21
3.868, -1.98162e-21
3.918, -5.36718e-21
3.968, 1.40454e-21
4.018, -1.98166e-21
4.068, 4.79025e-21
4.118, -1.21037e-06
4.168, -2.37776e-06
4.218, -2.60973e-06
4.268, -2.65591e-06
4.318, -2.66521e-06
4.369, -2.66722e-06
4.418, -2.66776e-06
4.468, -2.66806e-06
4.518, -2.66831e-06
4.568, -2.66856e-06
4.618, -1.45809e-06
4.668, -2.89995e-07
4.718, -5.76776e-08
4.769, -1.1107e-08
4.818, -2.28162e-09
4.868, -4.53799e-10
4.918, -9.02573e-11
4.968, -1.79515e-11
5.018, -3.57043e-12
5.068, -7.1015e-13
5.118, -1.41256e-13
5.168, -2.80916e-14
5.218, -5.57437e-15
5.268, -1.1033e-15
5.318, -2.22041e-16
5.368, -5.19206e-17
5.417, -4.47025e-20
5.467, 5.13809e-18
5.518, -6.26377e-18
5.568, 8.95649e-19
5.618, 7.83336e-18
5.668, -8.09246e-18
5.718, 6.80797e-18
5.768, -1.15437e-18
5.818, -8.09208e-18
5.868, 6.80797e-18
5.918, -6.0413e-18
