sim_time, /gazebo/default/one_dynamixel_simulation/link2/MPU6050sensor/imu?p=/angular_velocity/y
3.289, -2.47723e-15
3.339, -2.47509e-15
3.389, 1.92928e-14
3.439, -2.48594e-15
3.489, -2.49751e-15
3.539, -2.54738e-15
3.589, -2.07095e-15
3.639, -2.47512e-15
3.689, 1.86267e-14
3.739, -2.48608e-15
3.789, -2.48288e-15
3.839, -2.49552e-15
3.889, -2.54568e-15
3.939, -2.06857e-15
3.989, 1.44163e-14
4.039, -2.48685e-15
4.089, -2.48427e-15
4.14, -2.48195e-15
4.189, -2.49293e-15
4.239, -2.54399e-15
4.29, -2.79384e-15
4.339, -5.42862e-15
4.39, -2.48522e-15
4.439, 9.70618e-05
4.489, 1.09537e-05
4.539, -6.15237e-06
4.59, -9.57741e-06
4.639, -1.02257e-05
4.689, -1.03598e-05
4.739, -1.03865e-05
4.79, -1.03918e-05
4.839, -1.03928e-05
4.889, -1.0393e-05
4.939, -1.03931e-05
4.989, -1.03931e-05
5.039, -1.03931e-05
5.089, -1.03931e-05
5.138, -1.03931e-05
5.189, -1.03931e-05
5.238, -1.03931e-05
5.29, -1.03931e-05
5.339, -1.03931e-05
5.389, -1.03931e-05
5.439, -1.03931e-05
5.49, -1.03931e-05
5.539, -1.03931e-05
5.589, -1.03931e-05
5.639, -1.03931e-05
5.689, -1.03931e-05
5.739, -1.03931e-05
5.789, -1.03931e-05
5.84, -1.03931e-05
5.89, -1.03931e-05
5.94, -1.03931e-05
5.989, -1.03931e-05
6.039, -1.03931e-05
6.089, -1.03931e-05
6.139, -1.03931e-05
6.189, -1.03931e-05
6.239, -1.03931e-05
6.289, -1.03931e-05
6.339, -1.03931e-05
6.389, -1.03931e-05
6.439, 0.0228909
6.489, 0.0348874
6.539, 0.0372706
6.589, 0.037744
6.639, 0.0378381
6.689, 0.0378567
6.739, 0.0378604
6.789, 0.0378612
6.839, 0.0378613
6.889, 0.0378613
6.94, 0.0378613
6.989, 0.0378613
7.039, 0.0378613
7.089, 0.0378613
7.139, 0.0378613
7.189, 0.0378613
7.24, 0.0378613
7.289, 0.0378612
7.339, 0.0378612
7.389, 0.0378612
7.439, 0.0378612
7.49, 0.0378612
7.54, 0.0378612
7.589, 0.0378612
7.639, 0.0378612
7.689, 0.0378612
7.739, 0.0378612
7.79, 0.0378612
7.839, 0.0378612
7.889, 0.0378611
7.939, 0.0378611
7.989, 0.0378611
8.039, 0.0378611
8.089, 0.0378611
8.14, 0.0378611
8.19, 0.0378611
8.239, 0.0378611
8.289, 0.0378611
8.339, 0.0378611
8.389, 0.0378611
8.439, -0.00792877
8.489, -0.0319149
8.539, -0.0366798
8.589, -0.0376264
8.64, -0.037816
8.69, -0.0378521
8.738, -0.0378592
8.789, -0.0378607
8.839, -0.037861
8.889, -0.0378611
8.939, -0.0378611
8.989, -0.0378611
9.039, -0.0378611
9.089, -0.0378611
9.139, -0.0378612
9.189, -0.0378612
9.239, -0.0378612
9.289, -0.0378612
9.339, -0.0378612
9.389, -0.0378612
9.439, -0.0378612
9.489, -0.0378612
9.539, -0.0378612
9.589, -0.0378612
9.639, -0.0378612
9.689, -0.0378612
9.739, -0.0378613
9.789, -0.0378613
9.84, -0.0378613
9.889, -0.0378613
9.939, -0.0378613
9.989, -0.0378613
10.038, -0.0378613
10.089, -0.0378613
10.139, -0.0378613
10.189, -0.0378613
10.239, -0.0378614
10.289, -0.0378614
10.339, -0.0378614
10.389, -0.0378614
10.439, -0.73387
10.489, -1.09847
10.54, -1.17148
10.589, -1.18532
10.639, -1.1882
10.689, -1.1888
10.739, -1.18894
10.789, -1.189
10.839, -1.18904
10.89, -1.18908
10.939, -1.18912
10.989, -1.18917
11.039, -1.18922
11.089, -1.18927
11.14, -1.18932
11.189, -1.18938
11.239, -1.18943
11.289, -1.18949
11.339, -1.18955
11.389, -1.1896
11.439, 0.248529
11.49, 1.00843
11.539, 1.15239
11.589, 1.18216
11.639, 1.18804
11.689, 1.18916
11.739, 1.18934
11.79, 1.18933
11.839, 1.18929
11.889, 1.18924
11.939, 1.18919
11.989, 1.18914
12.039, 1.1891
12.089, 1.18905
12.139, 1.18901
12.189, 1.18898
12.239, 1.18895
12.289, 1.18892
12.339, 1.18889
12.389, 1.18887
12.439, 0.469954
12.489, 0.0933603
12.539, 0.0185467
12.589, 0.00368446
12.639, 0.000731946
12.689, 0.000145407
12.739, 2.88862e-05
12.789, 5.73846e-06
12.839, 1.13999e-06
12.889, 2.26468e-07
12.939, 4.49896e-08
12.988, 9.23117e-09
