sim_time, /gazebo/default/one_dynamixel_simulation/link2/MPU6050sensor/imu?p=/angular_velocity/x
3.289, -2.07856e-15
3.339, -2.07673e-15
3.389, 1.61875e-14
3.439, -2.08573e-15
3.489, -2.09555e-15
3.539, -2.13732e-15
3.589, -1.73761e-15
3.639, -2.07669e-15
3.689, 1.56286e-14
3.739, -2.08589e-15
3.789, -2.0833e-15
3.839, -2.09387e-15
3.889, -2.13597e-15
3.939, -1.73572e-15
3.989, 1.20957e-14
4.039, -2.08667e-15
4.089, -2.08433e-15
4.14, -2.08238e-15
4.189, -2.09156e-15
4.239, -2.13461e-15
4.29, -2.34421e-15
4.339, -4.55482e-15
4.39, -2.08523e-15
4.439, 8.14387e-05
4.489, 9.19057e-06
4.539, -5.16208e-06
4.59, -8.03583e-06
4.639, -8.57977e-06
4.689, -8.69229e-06
4.739, -8.71465e-06
4.79, -8.71912e-06
4.839, -8.71997e-06
4.889, -8.72015e-06
4.939, -8.72018e-06
4.989, -8.72019e-06
5.039, -8.72019e-06
5.089, -8.72019e-06
5.138, -8.72019e-06
5.189, -8.72019e-06
5.238, -8.72019e-06
5.29, -8.72019e-06
5.339, -8.72019e-06
5.389, -8.72019e-06
5.439, -8.72019e-06
5.49, -8.72019e-06
5.539, -8.72019e-06
5.589, -8.72019e-06
5.639, -8.72019e-06
5.689, -8.72019e-06
5.739, -8.72019e-06
5.789, -8.72019e-06
5.84, -8.72019e-06
5.89, -8.72019e-06
5.94, -8.72019e-06
5.989, -8.72019e-06
6.039, -8.72019e-06
6.089, -8.72019e-06
6.139, -8.72019e-06
6.189, -8.72019e-06
6.239, -8.72019e-06
6.289, -8.72019e-06
6.339, -8.72019e-06
6.389, -8.72019e-06
6.439, 0.0192064
6.489, 0.0292719
6.539, 0.0312715
6.589, 0.0316687
6.639, 0.0317476
6.689, 0.0317633
6.739, 0.0317664
6.789, 0.031767
6.839, 0.0317671
6.889, 0.0317671
6.94, 0.0317671
6.989, 0.0317671
7.039, 0.0317671
7.089, 0.0317671
7.139, 0.0317671
7.189, 0.0317671
7.24, 0.0317671
7.289, 0.0317671
7.339, 0.0317671
7.389, 0.0317671
7.439, 0.0317671
7.49, 0.031767
7.54, 0.031767
7.589, 0.031767
7.639, 0.031767
7.689, 0.031767
7.739, 0.031767
7.79, 0.031767
7.839, 0.031767
7.889, 0.031767
7.939, 0.031767
7.989, 0.031767
8.039, 0.031767
8.089, 0.031767
8.14, 0.031767
8.19, 0.031767
8.239, 0.031767
8.289, 0.0317669
8.339, 0.0317669
8.389, 0.0317669
8.439, -0.00665255
8.489, -0.0267778
8.539, -0.0307758
8.589, -0.0315701
8.64, -0.0317291
8.69, -0.0317594
8.738, -0.0317654
8.789, -0.0317667
8.839, -0.0317669
8.889, -0.031767
8.939, -0.031767
8.989, -0.031767
9.039, -0.031767
9.089, -0.031767
9.139, -0.031767
9.189, -0.031767
9.239, -0.031767
9.289, -0.031767
9.339, -0.031767
9.389, -0.031767
9.439, -0.031767
9.489, -0.031767
9.539, -0.0317671
9.589, -0.0317671
9.639, -0.0317671
9.689, -0.0317671
9.739, -0.0317671
9.789, -0.0317671
9.84, -0.0317671
9.889, -0.0317671
9.939, -0.0317671
9.989, -0.0317671
10.038, -0.0317671
10.089, -0.0317671
10.139, -0.0317672
10.189, -0.0317672
10.239, -0.0317672
10.289, -0.0317672
10.339, -0.0317672
10.389, -0.0317672
10.439, -0.615745
10.489, -0.921659
10.54, -0.982921
10.589, -0.99453
10.639, -0.996947
10.689, -0.997446
10.739, -0.997567
10.789, -0.997614
10.839, -0.997649
10.89, -0.997685
10.939, -0.997721
10.989, -0.99776
11.039, -0.997801
11.089, -0.997844
11.14, -0.997889
11.189, -0.997934
11.239, -0.99798
11.289, -0.998028
11.339, -0.998075
11.389, -0.998123
11.439, 0.208526
11.49, 0.846112
11.539, 0.966903
11.589, 0.99188
11.639, 0.996809
11.689, 0.997752
11.739, 0.997902
11.79, 0.997894
11.839, 0.997858
11.889, 0.997816
11.939, 0.997775
11.989, 0.997735
12.039, 0.997698
12.089, 0.997662
12.139, 0.99763
12.189, 0.9976
12.239, 0.997573
12.289, 0.997549
12.339, 0.997529
12.389, 0.997512
12.439, 0.39431
12.489, 0.0783329
12.539, 0.0155615
12.589, 0.0030914
12.639, 0.000614131
12.689, 0.000122002
12.739, 2.42366e-05
12.789, 4.8148e-06
12.839, 9.56497e-07
12.889, 1.90015e-07
12.939, 3.7748e-08
12.988, 7.74532e-09
