sim_time, /gazebo/default/one_dynamixel_simulation/link2/MPU6050sensor/imu?p=/linear_acceleration/z
3.289, -0.000292151
3.339, -0.000292151
3.389, -0.000292151
3.439, -0.000292151
3.489, -0.000292151
3.539, -0.000292151
3.589, -0.000292151
3.639, -0.000292151
3.689, -0.000292151
3.739, -0.000292151
3.789, -0.000292151
3.839, -0.000292151
3.889, -0.000292151
3.939, -0.000292151
3.989, -0.000292151
4.039, -0.000292151
4.089, -0.000292151
4.14, -0.000292151
4.189, -0.000292151
4.239, -0.000292151
4.29, -0.000292151
4.339, -0.000292151
4.39, -0.000292151
4.439, -0.000144341
4.489, -0.000566448
4.539, -0.000419087
4.59, -0.000384303
4.639, -0.000372287
4.689, -0.000364566
4.739, -0.000357699
4.79, -0.000350875
4.839, -0.000344351
4.889, -0.000337702
4.939, -0.000331054
4.989, -0.000324406
5.039, -0.000317625
5.089, -0.000311111
5.138, -0.000304463
5.189, -0.000297815
5.238, -0.000291168
5.29, -0.000284387
5.339, -0.000277872
5.389, -0.000271224
5.439, -0.000264577
5.49, -0.000257796
5.539, -0.000251281
5.589, -0.000244633
5.639, -0.000237986
5.689, -0.000231338
5.739, -0.00022469
5.789, -0.00021791
5.84, -0.000211262
5.89, -0.000204614
5.94, -0.000197966
5.989, -0.000191452
6.039, -0.000184804
6.089, -0.000178156
6.139, -0.000171509
6.189, -0.000164861
6.239, -0.000158213
6.289, -0.000151565
6.339, -0.000144785
6.389, -0.00013827
6.439, 0.0437411
6.489, 0.000889273
6.539, -0.0429434
6.589, -0.0715422
6.639, -0.0960471
6.689, -0.120418
6.739, -0.14515
6.789, -0.168883
6.839, -0.193098
6.889, -0.217311
6.94, -0.242005
6.989, -0.266216
7.039, -0.289936
7.089, -0.314144
7.139, -0.338347
7.189, -0.362549
7.24, -0.387233
7.289, -0.410946
7.339, -0.435141
7.389, -0.459332
7.439, -0.483522
7.49, -0.508192
7.54, -0.532375
7.589, -0.556071
7.639, -0.580732
7.689, -0.604419
7.739, -0.628589
7.79, -0.653238
7.839, -0.676916
7.889, -0.701073
7.939, -0.725226
7.989, -0.749375
8.039, -0.773519
8.089, -0.798142
8.14, -0.822273
8.19, -0.846404
8.239, -0.870046
8.289, -0.894164
8.339, -0.918762
8.389, -0.942868
8.439, -1.05422
8.489, -0.992858
8.539, -0.92963
8.589, -0.89775
8.64, -0.871602
8.69, -0.847173
8.738, -0.82347
8.789, -0.799321
8.839, -0.775181
8.889, -0.751037
8.939, -0.726889
8.989, -0.702736
9.039, -0.678579
9.089, -0.654418
9.139, -0.630253
9.189, -0.606084
9.239, -0.581911
9.289, -0.557735
9.339, -0.533555
9.389, -0.509373
9.439, -0.485187
9.489, -0.460998
9.539, -0.436806
9.589, -0.412611
9.639, -0.388414
9.689, -0.364215
9.739, -0.340013
9.789, -0.315327
9.84, -0.291119
9.889, -0.267397
9.939, -0.243188
9.989, -0.218495
10.038, -0.194765
10.089, -0.170068
10.139, -0.146337
10.189, -0.12164
10.239, -0.097906
10.289, -0.0736912
10.339, -0.0494744
10.389, -0.0252573
10.439, -1.3348
10.489, -0.0365358
10.54, 1.28686
10.589, 2.1269
10.639, 2.89383
10.689, 3.60236
10.739, 4.29439
10.789, 4.96117
10.839, 5.59748
10.89, 6.21112
10.939, 6.76406
10.989, 7.29527
11.039, 7.77492
11.089, 8.19913
11.14, 8.58601
11.189, 8.90876
11.239, 9.18403
11.289, 9.40365
11.339, 9.56614
11.389, 9.67051
11.439, 12.8086
11.49, 11.3298
11.539, 9.91535
11.589, 9.49296
11.639, 9.2244
11.689, 8.94121
11.739, 8.61218
11.79, 8.23387
11.839, 7.81222
11.889, 7.33673
11.939, 6.81655
11.989, 6.25494
12.039, 5.6553
12.089, 5.00706
12.139, 4.35773
12.189, 3.66529
12.239, 2.95157
12.289, 2.21971
12.339, 1.4741
12.389, 0.702912
12.439, -1.4041
12.489, -0.772929
12.539, -0.152775
12.589, -0.0304199
12.639, -0.00614704
12.689, -0.00132639
12.739, -0.000368787
12.789, -0.000178554
12.839, -0.000140762
12.889, -0.000133255
12.939, -0.000131763
12.988, -0.000131468
