sim_time, /gazebo/default/one_dynamixel_simulation/link2/MPU6050sensor/imu?p=/linear_acceleration/y
3.289, 6.29905
3.339, 6.29905
3.389, 6.29905
3.439, 6.29905
3.489, 6.29905
3.539, 6.29905
3.589, 6.29905
3.639, 6.29905
3.689, 6.29905
3.739, 6.29905
3.789, 6.29905
3.839, 6.29905
3.889, 6.29905
3.939, 6.29905
3.989, 6.29905
4.039, 6.29905
4.089, 6.29905
4.14, 6.29905
4.189, 6.29905
4.239, 6.29905
4.29, 6.29905
4.339, 6.29905
4.39, 6.29905
4.439, 6.299
4.489, 6.2991
4.539, 6.29906
4.59, 6.29905
4.639, 6.29905
4.689, 6.29905
4.739, 6.29905
4.79, 6.29905
4.839, 6.29905
4.889, 6.29905
4.939, 6.29905
4.989, 6.29905
5.039, 6.29905
5.089, 6.29905
5.138, 6.29905
5.189, 6.29905
5.238, 6.29905
5.29, 6.29905
5.339, 6.29905
5.389, 6.29905
5.439, 6.29905
5.49, 6.29905
5.539, 6.29905
5.589, 6.29905
5.639, 6.29905
5.689, 6.29905
5.739, 6.29905
5.789, 6.29905
5.84, 6.29905
5.89, 6.29905
5.94, 6.29905
5.989, 6.29905
6.039, 6.29905
6.089, 6.29905
6.139, 6.29905
6.189, 6.29905
6.239, 6.29905
6.289, 6.29905
6.339, 6.29905
6.389, 6.29905
6.439, 6.28725
6.489, 6.29279
6.539, 6.29764
6.589, 6.29851
6.639, 6.29858
6.689, 6.29844
6.739, 6.29823
6.789, 6.29799
6.839, 6.2977
6.889, 6.29738
6.94, 6.29701
6.989, 6.2966
7.039, 6.29617
7.089, 6.29569
7.139, 6.29517
7.189, 6.29461
7.24, 6.29401
7.289, 6.29339
7.339, 6.29271
7.389, 6.292
7.439, 6.29126
7.49, 6.29045
7.54, 6.28963
7.589, 6.28878
7.639, 6.28786
7.689, 6.28694
7.739, 6.28596
7.79, 6.28492
7.839, 6.28388
7.889, 6.28279
7.939, 6.28166
7.989, 6.28049
8.039, 6.27928
8.089, 6.278
8.14, 6.27672
8.19, 6.27539
8.239, 6.27406
8.289, 6.27266
8.339, 6.27118
8.389, 6.26971
8.439, 6.29251
8.489, 6.28225
8.539, 6.27363
8.589, 6.27306
8.64, 6.27409
8.69, 6.27537
8.738, 6.27665
8.789, 6.27795
8.839, 6.27919
8.889, 6.2804
8.939, 6.28158
8.989, 6.28271
9.039, 6.28381
9.089, 6.28487
9.139, 6.28589
9.189, 6.28687
9.239, 6.28781
9.289, 6.28872
9.339, 6.28958
9.389, 6.29041
9.439, 6.2912
9.489, 6.29195
9.539, 6.29267
9.589, 6.29334
9.639, 6.29398
9.689, 6.29458
9.739, 6.29513
9.789, 6.29566
9.84, 6.29615
9.889, 6.29658
9.939, 6.29699
9.989, 6.29736
10.038, 6.29768
10.089, 6.29798
10.139, 6.29823
10.189, 6.29844
10.239, 6.29861
10.289, 6.29875
10.339, 6.29884
10.389, 6.2989
10.439, 6.65582
10.489, 6.40246
10.54, 6.15178
10.589, 6.01819
10.639, 5.87522
10.689, 5.71553
10.739, 5.51167
10.789, 5.27658
10.839, 5.00902
10.89, 4.70432
10.939, 4.38292
10.989, 4.01842
11.039, 3.64064
11.089, 3.24843
11.14, 2.81456
11.189, 2.38254
11.239, 1.92688
11.289, 1.45879
11.339, 0.981145
11.389, 0.496812
11.439, -0.479536
11.49, 0.24153
11.539, 0.905068
11.589, 1.42136
11.639, 1.89869
11.689, 2.35634
11.739, 2.79801
11.79, 3.22435
11.839, 3.61759
11.889, 3.99899
11.939, 4.35555
11.989, 4.6851
12.039, 4.98565
12.089, 5.25787
12.139, 5.49533
12.189, 5.69623
12.239, 5.86465
12.289, 5.997
12.339, 6.09249
12.389, 6.14871
12.439, 6.57013
12.489, 6.48349
12.539, 6.33723
12.589, 6.3067
12.639, 6.30057
12.689, 6.29936
12.739, 6.29911
12.789, 6.29906
12.839, 6.29906
12.889, 6.29905
12.939, 6.29905
12.988, 6.29905
