19:51:30
X(G),Y(G),Z(G),X(A),Y(A),Z(A),T(ms)
-0.35,-0.93,-0.17,-2.55,1.37,-1.09,66666
-0.36,-0.93,-0.17,-2.47,1.31,-1.05,66667
-0.35,-0.94,-0.17,-2.63,1.09,-1.10,66668
-0.36,-0.94,-0.18,-2.58,1.16,-1.16,66669
-0.35,-0.93,-0.17,-2.59,1.08,-1.18,66670
-0.36,-0.93,-0.16,-2.48,1.17,-1.03,66671
-0.35,-0.94,-0.17,-2.45,1.18,-1.08,66672
-0.35,-0.93,-0.17,-2.45,1.09,-1.11,66673
-0.35,-0.93,-0.16,-2.52,1.05,-1.01,66674
-0.35,-0.93,-0.16,-2.49,1.02,-0.94,66675
-0.35,-0.93,-0.17,-2.34,1.27,-1.24,66676
-0.36,-0.94,-0.16,-2.60,1.04,-0.97,66677
-0.35,-0.93,-0.17,-2.60,1.04,-0.98,66678
-0.36,-0.93,-0.17,-2.40,1.08,-1.05,66679
-0.36,-0.93,-0.18,-2.63,1.21,-1.11,66680
-0.35,-0.94,-0.17,-2.63,1.15,-1.09,66681
-0.36,-0.93,-0.17,-2.63,1.16,-1.11,66682
-0.35,-0.93,-0.17,-2.66,1.30,-1.05,66683
-0.35,-0.93,-0.17,-2.42,0.95,-1.00,66684
-0.35,-0.93,-0.17,-2.46,0.97,-0.93,66685
-0.36,-0.93,-0.17,-2.60,1.21,-1.24,66686
-0.35,-0.93,-0.17,-2.50,1.14,-0.99,66687
-0.35,-0.94,-0.17,-2.34,1.05,-1.08,66688
-0.35,-0.93,-0.17,-2.41,1.05,-0.99,66689
-0.35,-0.94,-0.17,-2.38,1.02,-1.19,66690
-0.36,-0.93,-0.17,-2.43,1.00,-0.87,66691
-0.35,-0.94,-0.16,-2.51,1.21,-0.91,66692
-0.36,-0.94,-0.17,-2.46,1.24,-1.00,66693
-0.36,-0.93,-0.17,-2.45,1.05,-1.12,66694
-0.36,-0.94,-0.17,-2.58,1.29,-0.76,66695
-0.36,-0.93,-0.17,-2.67,1.14,-0.92,66696
-0.36,-0.93,-0.17,-2.43,1.10,-0.99,66697
-0.36,-0.93,-0.17,-2.44,1.18,-1.07,66698
-0.35,-0.93,-0.17,-2.41,1.13,-1.11,66699
-0.35,-0.93,-0.18,-2.50,1.25,-1.08,66700
-0.35,-0.94,-0.17,-2.49,0.98,-0.92,66701
-0.35,-0.93,-0.17,-2.34,0.99,-0.85,66702
-0.35,-0.94,-0.16,-2.56,1.04,-0.96,66703
-0.35,-0.94,-0.17,-2.40,0.89,-0.85,66704
-0.36,-0.93,-0.16,-2.36,1.27,-1.09,66705
-0.35,-0.93,-0.17,-2.31,1.25,-0.98,66706
-0.36,-0.93,-0.16,-2.48,1.34,-1.02,66707
-0.36,-0.93,-0.17,-2.56,1.16,-1.02,66708
-0.35,-0.93,-0.17,-2.47,1.29,-0.89,66709
-0.35,-0.93,-0.17,-2.37,1.14,-0.83,66710
-0.36,-0.93,-0.17,-2.39,1.15,-1.08,66711
-0.36,-0.94,-0.17,-2.48,1.17,-0.93,66712
-0.36,-0.93,-0.17,-2.56,1.29,-1.05,66713
-0.36,-0.93,-0.18,-2.66,1.28,-1.06,66714
-0.35,-0.93,-0.17,-2.46,1.15,-0.93,66715
-0.36,-0.93,-0.17,-2.60,1.14,-0.92,66716
-0.36,-0.93,-0.16,-2.34,1.24,-0.87,66717
-0.35,-0.93,-0.16,-2.34,1.14,-0.87,66718
-0.35,-0.94,-0.17,-2.47,1.23,-1.21,66719
-0.35,-0.93,-0.17,-2.50,1.24,-0.91,66720
-0.36,-0.93,-0.17,-2.52,1.02,-0.98,66721
-0.36,-0.93,-0.16,-2.62,1.03,-0.95,66722
-0.35,-0.93,-0.17,-2.71,1.14,-0.90,66723
-0.35,-0.93,-0.17,-2.63,1.06,-1.12,66724
-0.35,-0.93,-0.18,-2.48,1.19,-0.95,66725
-0.35,-0.93,-0.16,-2.55,1.18,-0.98,66726
-0.35,-0.94,-0.16,-2.68,1.11,-1.03,66727
-0.36,-0.93,-0.17,-2.70,1.09,-1.03,66728
-0.35,-0.93,-0.17,-2.56,1.18,-0.86,66729
-0.35,-0.93,-0.17,-2.44,0.99,-1.15,66730
-0.36,-0.93,-0.18,-2.54,0.97,-1.21,66731
-0.35,-0.93,-0.16,-2.60,1.02,-1.00,66732
-0.35,-0.94,-0.18,-2.48,1.15,-1.16,66733
-0.35,-0.93,-0.17,-2.24,1.10,-0.98,66734
-0.35,-0.93,-0.17,-2.73,1.21,-1.05,66735
-0.36,-0.93,-0.18,-2.59,1.24,-1.07,66736
-0.35,-0.94,-0.17,-2.42,1.12,-1.22,66737
-0.35,-0.93,-0.17,-2.47,1.08,-0.85,66738
-0.35,-0.93,-0.17,-2.47,1.42,-1.18,66739
-0.35,-0.94,-0.17,-2.59,1.30,-1.19,66740
-0.35,-0.93,-0.17,-2.40,1.08,-1.03,66741
-0.35,-0.93,-0.17,-2.40,1.34,-0.99,66742
-0.35,-0.93,-0.17,-2.60,1.21,-1.20,66743
-0.36,-0.94,-0.17,-2.34,1.20,-1.02,66744
-0.36,-0.93,-0.17,-2.40,1.14,-1.37,66745
-0.35,-0.93,-0.17,-2.32,1.40,-1.05,66746
-0.36,-0.93,-0.17,-2.57,1.03,-0.99,66747
-0.35,-0.93,-0.17,-2.31,0.95,-1.00,66748
-0.36,-0.93,-0.17,-2.40,1.10,-0.89,66749
