20:50:49
X(G),Y(G),Z(G),X(A),Y(A),Z(A),T(ms)
-0.75,0.62,0.12,-1.03,0.06,2.71,22558
-0.75,0.62,0.11,-1.00,-0.12,2.75,22559
-0.75,0.61,0.11,-1.08,0.12,2.64,22560
-0.75,0.61,0.11,-1.21,0.12,2.50,22561
-0.75,0.62,0.12,-1.08,0.05,2.53,22562
-0.75,0.61,0.12,-0.98,-0.02,2.71,22563
-0.75,0.61,0.12,-1.06,0.15,2.80,22564
-0.75,0.61,0.12,-1.14,0.05,2.79,22565
-0.76,0.61,0.12,-1.01,-0.24,2.46,22566
-0.75,0.61,0.12,-1.03,0.12,2.75,22567
-0.74,0.62,0.13,-1.21,0.00,2.69,22568
-0.76,0.61,0.13,-0.97,0.22,2.53,22569
-0.75,0.62,0.12,-0.95,-0.15,2.60,22570
-0.75,0.61,0.12,-1.02,0.02,2.50,22571
-0.75,0.61,0.12,-1.02,0.14,2.81,22572
-0.75,0.61,0.12,-1.11,0.17,2.81,22573
-0.75,0.61,0.12,-1.03,0.11,2.60,22574
-0.75,0.61,0.12,-1.18,0.02,2.45,22575
-0.75,0.62,0.12,-1.02,0.18,2.74,22576
-0.75,0.61,0.13,-1.09,0.03,2.58,22577
-0.75,0.61,0.11,-1.08,0.10,2.76,22578
-0.75,0.62,0.11,-1.14,0.01,2.63,22579
-0.74,0.62,0.12,-1.11,-0.03,2.80,22580
-0.74,0.61,0.12,-1.08,0.08,2.69,22581
-0.75,0.60,0.12,-1.08,0.18,2.71,22582
-0.76,0.61,0.13,-1.05,-0.16,2.55,22583
-0.76,0.61,0.11,-1.19,-0.11,2.65,22584
-0.75,0.61,0.12,-1.24,0.23,2.69,22585
-0.74,0.61,0.12,-1.00,0.20,2.43,22586
-0.74,0.61,0.12,-0.94,-0.15,2.51,22587
-0.75,0.62,0.12,-0.79,-0.27,2.51,22588
-0.75,0.61,0.12,-1.13,0.09,2.68,22589
-0.74,0.62,0.10,-1.11,0.27,2.82,22590
-0.76,0.61,0.11,-1.18,-0.01,2.77,22591
-0.74,0.61,0.11,-1.14,0.22,2.65,22592
-0.74,0.60,0.12,-0.95,0.10,2.54,22593
-0.74,0.61,0.11,-0.83,0.07,2.75,22594
-0.74,0.62,0.13,-1.02,0.03,2.65,22595
-0.82,0.60,0.10,-0.53,-0.14,2.27,22596
-0.83,0.58,0.21,0.95,-2.14,1.87,22597
-0.83,0.60,0.24,1.74,-4.01,2.21,22598
-0.73,0.61,0.21,1.83,-2.21,1.78,22599
-0.72,0.64,-0.03,-1.37,0.53,2.55,22600
-0.72,0.67,0.03,-4.10,3.41,3.61,22601
-0.77,0.65,0.07,-3.54,4.45,4.13,22602
-0.73,0.66,-0.01,-3.20,2.68,3.38,22603
-0.77,0.55,0.15,-3.21,0.16,3.50,22604
-0.78,0.54,0.28,0.41,-1.02,3.34,22605
-0.75,0.65,0.16,1.96,-1.20,2.58,22606
-0.75,0.69,0.02,-1.77,-0.88,1.50,22607
-0.73,0.57,0.17,-2.15,-0.27,1.58,22608
-0.74,0.55,0.20,0.75,0.36,2.41,22609
-0.76,0.64,0.05,-0.35,0.31,2.96,22610
-0.77,0.62,0.06,-3.13,0.56,3.74,22611
-0.74,0.59,0.17,-1.77,0.73,3.85,22612
-0.70,0.65,0.14,-0.21,0.31,3.08,22613
-0.73,0.68,0.08,-1.02,0.18,1.64,22614
-0.75,0.62,0.10,-1.64,-0.08,1.21,22615
-0.77,0.57,0.12,-1.34,-0.02,2.19,22616
-0.76,0.56,0.16,-0.32,0.25,2.78,22617
-0.77,0.60,0.08,-0.19,-0.09,3.27,22618
-0.75,0.62,0.06,-2.19,-0.24,3.58,22619
-0.73,0.61,0.19,-1.79,0.11,3.11,22620
-0.73,0.62,0.16,0.36,0.21,2.01,22621
-0.76,0.64,0.04,-1.05,0.15,1.87,22622
-0.76,0.60,0.09,-2.53,0.08,2.51,22623
-0.75,0.55,0.18,-0.74,0.08,2.63,22624
-0.77,0.59,0.10,0.25,-0.08,3.36,22625
-0.75,0.64,0.06,-1.60,-0.03,3.54,22626
-0.73,0.63,0.13,-1.89,-0.02,3.11,22627
-0.73,0.63,0.15,-0.39,0.27,2.30,22628
-0.74,0.64,0.09,-0.51,0.28,2.11,22629
-0.75,0.63,0.08,-1.85,0.09,2.07,22630
-0.75,0.59,0.13,-1.67,0.02,2.70,22631
-0.75,0.59,0.14,-0.47,0.24,3.11,22632
-0.75,0.62,0.11,-0.56,0.39,3.11,22633
-0.74,0.64,0.08,-1.96,-0.06,3.02,22634
-0.74,0.62,0.16,-1.24,0.15,2.42,22635
-0.74,0.61,0.15,-0.29,0.27,2.00,22636
-0.76,0.63,0.07,-1.09,0.44,2.01,22637
-0.77,0.61,0.11,-2.04,0.08,2.53,22638
-0.75,0.57,0.16,-0.98,0.05,3.01,22639
-0.75,0.60,0.12,0.04,0.08,3.02,22640
-0.75,0.62,0.07,-1.24,-0.08,3.34,22641
-0.74,0.63,0.13,-1.76,0.11,2.83,22642
-0.74,0.61,0.15,-0.92,0.24,2.47,22643
-0.76,0.62,0.10,-0.63,0.31,1.96,22644
-0.76,0.61,0.10,-1.39,0.07,2.34,22645
-0.76,0.59,0.12,-1.44,0.10,2.69,22646
-0.75,0.59,0.13,-0.80,0.03,3.14,22647
-0.74,0.61,0.11,-0.56,0.06,3.08,22648
-0.75,0.64,0.10,-1.11,0.06,3.05,22649
-0.74,0.64,0.13,-1.39,0.02,2.37,22650
-0.74,0.62,0.14,-0.95,0.13,2.05,22651
-0.75,0.61,0.11,-0.72,0.21,1.99,22652
-0.76,0.60,0.10,-1.52,0.16,2.48,22653
-0.76,0.59,0.14,-1.28,0.15,3.05,22654
-0.76,0.60,0.12,-0.57,-0.11,3.06,22655
-0.74,0.63,0.10,-1.17,0.17,3.01,22656
-0.74,0.64,0.12,-1.47,0.24,2.72,22657
-0.74,0.62,0.12,-1.25,0.21,2.20,22658
-0.76,0.61,0.10,-0.92,0.13,2.18,22659
-0.75,0.60,0.11,-0.95,-0.10,2.50,22660
-0.76,0.59,0.13,-1.12,-0.15,2.98,22661
-0.76,0.60,0.13,-0.73,0.12,3.13,22662
-0.75,0.63,0.11,-1.07,-0.12,3.02,22663
-0.73,0.63,0.13,-1.23,-0.11,2.36,22664
-0.75,0.62,0.14,-0.88,-0.02,2.05,22665
-0.75,0.61,0.11,-0.68,-0.02,2.10,22666
-0.76,0.61,0.11,-1.14,0.11,2.31,22667
-0.75,0.59,0.11,-1.42,0.05,3.02,22668
-0.75,0.60,0.12,-0.90,0.11,3.17,22669
-0.75,0.62,0.13,-0.69,-0.02,2.92,22670
-0.75,0.63,0.11,-1.14,0.00,2.72,22671
-0.75,0.62,0.11,-1.29,-0.08,2.47,22672
-0.75,0.61,0.13,-0.97,0.13,2.37,22673
-0.76,0.61,0.11,-0.79,0.05,2.60,22674
-0.75,0.61,0.10,-1.16,0.23,2.95,22675
-0.74,0.61,0.12,-1.34,0.14,2.96,22676
-0.73,0.61,0.13,-0.86,0.08,3.14,22677
-0.75,0.63,0.12,-0.97,0.16,2.85,22678
-0.73,0.63,0.11,-1.36,0.00,2.38,22679
-0.75,0.63,0.12,-1.12,0.05,2.15,22680
-0.76,0.60,0.12,-1.10,0.14,2.11,22681
-0.75,0.60,0.11,-1.11,0.15,2.69,22682
-0.76,0.60,0.11,-1.12,0.31,2.76,22683
-0.76,0.60,0.11,-1.09,0.21,2.89,22684
-0.75,0.62,0.12,-1.05,0.17,2.85,22685
-0.76,0.62,0.13,-1.01,0.00,2.53,22686
-0.74,0.62,0.12,-1.05,0.06,2.61,22687
-0.75,0.62,0.12,-1.02,0.17,2.37,22688
-0.75,0.61,0.12,-0.95,-0.02,2.58,22689
-0.76,0.60,0.11,-1.11,0.05,2.69,22690
-0.75,0.60,0.12,-1.02,0.02,3.05,22691
-0.74,0.61,0.12,-1.09,-0.01,2.95,22692
-0.74,0.62,0.11,-0.92,-0.03,2.78,22693
-0.74,0.62,0.12,-1.09,0.13,2.47,22694
-0.75,0.62,0.12,-1.04,0.10,2.31,22695
-0.75,0.61,0.12,-0.86,0.44,2.47,22696
-0.75,0.61,0.11,-0.98,0.15,2.85,22697
-0.75,0.61,0.12,-1.10,0.12,2.73,22698
-0.75,0.62,0.12,-1.00,0.09,3.02,22699
-0.74,0.62,0.12,-1.12,0.08,2.81,22700
-0.75,0.63,0.11,-1.19,0.01,2.51,22701
-0.74,0.62,0.12,-1.19,0.20,2.48,22702
-0.75,0.61,0.12,-1.02,0.05,2.53,22703
-0.76,0.60,0.11,-1.02,0.08,2.57,22704
-0.75,0.60,0.12,-1.02,0.02,2.93,22705
-0.76,0.60,0.12,-1.08,0.02,2.86,22706
-0.75,0.62,0.12,-1.05,-0.05,2.75,22707
-0.75,0.62,0.12,-0.99,0.10,2.56,22708
-0.75,0.62,0.12,-1.08,0.08,2.43,22709
-0.75,0.61,0.12,-1.07,0.05,2.47,22710
-0.75,0.60,0.12,-0.89,-0.02,2.57,22711
-0.75,0.60,0.12,-1.16,-0.03,2.50,22712
-0.75,0.61,0.12,-1.10,0.18,2.87,22713
