sim_time, one_dynamixel_simulation/joint1?0/position
2.531, 0.0053189
2.532, 0.0053189
2.533, 0.0053189
2.534, 0.0053189
2.535, 0.0053189
2.536, 0.0053189
2.537, 0.0053189
2.538, 0.0053189
2.539, 0.0053189
2.54, 0.0053189
2.541, 0.0053189
2.542, 0.0053189
2.543, 0.0053189
2.544, 0.0053189
2.545, 0.0053189
2.546, 0.0053189
2.547, 0.0053189
2.548, 0.0053189
2.549, 0.0053189
2.55, 0.0053189
2.551, 0.0053189
2.552, 0.0053189
2.553, 0.0053189
2.554, 0.0053189
2.555, 0.0053189
2.556, 0.0053189
2.557, 0.0053189
2.558, 0.0053189
2.559, 0.0053189
2.56, 0.0053189
2.561, 0.0053189
2.562, 0.0053189
2.563, 0.0053189
2.564, 0.0053189
2.565, 0.0053189
2.566, 0.0053189
2.567, 0.0053189
2.568, 0.0053189
2.569, 0.0053189
2.57, 0.0053189
2.571, 0.0053189
2.572, 0.0053189
2.573, 0.0053189
2.574, 0.0053189
2.575, 0.0053189
2.576, 0.0053189
2.577, 0.0053189
2.578, 0.0053189
2.579, 0.0053189
2.58, 0.0053189
2.581, 0.0053189
2.582, 0.0053189
2.583, 0.0053189
2.584, 0.0053189
2.585, 0.0053189
2.586, 0.0053189
2.587, 0.0053189
2.588, 0.0053189
2.589, 0.0053189
2.59, 0.0053189
2.591, 0.0053189
2.592, 0.0053189
2.593, 0.0053189
2.594, 0.0053189
2.595, 0.0053189
2.596, 0.0053189
2.597, 0.0053189
2.598, 0.0053189
2.599, 0.0053189
2.6, 0.0053189
2.601, 0.0053189
2.602, 0.0053189
2.603, 0.0053189
2.604, 0.0053189
2.605, 0.0053189
2.606, 0.0053189
2.607, 0.0053189
2.608, 0.0053189
2.609, 0.0053189
2.61, 0.0053189
2.611, 0.0053189
2.612, 0.0053189
2.613, 0.0053189
2.614, 0.0053189
2.615, 0.0053189
2.616, 0.0053189
2.617, 0.0053189
2.618, 0.0053189
2.619, 0.0053189
2.62, 0.0053189
2.621, 0.0053189
2.622, 0.0053189
2.623, 0.0053189
2.624, 0.0053189
2.625, 0.0053189
2.626, 0.0053189
2.627, 0.0053189
2.628, 0.0053189
2.629, 0.0053189
2.63, 0.0053189
2.631, 0.0053189
2.632, 0.0053189
2.633, 0.0053189
2.634, 0.0053189
2.635, 0.0053189
2.636, 0.0053189
2.637, 0.0053189
2.638, 0.0053189
2.639, 0.0053189
2.64, 0.0053189
2.641, 0.0053189
2.642, 0.0053189
2.643, 0.0053189
2.644, 0.0053189
2.645, 0.0053189
2.646, 0.0053189
2.647, 0.0053189
2.648, 0.0053189
2.649, 0.0053189
2.65, 0.0053189
2.651, 0.0053189
2.652, 0.0053189
2.653, 0.0053189
2.654, 0.0053189
2.655, 0.0053189
2.656, 0.0053189
2.657, 0.0053189
2.658, 0.0053189
2.659, 0.0053189
2.66, 0.0053189
2.661, 0.0053189
2.662, 0.0053189
2.663, 0.0053189
2.664, 0.0053189
2.665, 0.0053189
2.666, 0.0053189
2.667, 0.0053189
2.668, 0.0053189
2.669, 0.0053189
2.67, 0.0053189
2.671, 0.0053189
2.672, 0.0053189
2.673, 0.0053189
2.674, 0.0053189
2.675, 0.0053189
2.676, 0.0053189
2.677, 0.0053189
2.678, 0.0053189
2.679, 0.0053189
2.68, 0.0053189
2.681, 0.0053189
2.682, 0.0053189
2.683, 0.0053189
2.684, 0.0053189
2.685, 0.0053189
2.686, 0.0053189
2.687, 0.0053189
2.688, 0.0053189
2.689, 0.0053189
2.69, 0.0053189
2.691, 0.0053189
2.692, 0.0053189
2.693, 0.0053189
2.694, 0.0053189
2.695, 0.0053189
2.696, 0.0053189
2.697, 0.0053189
2.698, 0.0053189
2.699, 0.0053189
2.7, 0.0053189
2.701, 0.0053189
2.702, 0.0053189
2.703, 0.0053189
2.704, 0.0053189
2.705, 0.0053189
2.706, 0.0053189
2.707, 0.0053189
2.708, 0.0053189
2.709, 0.0053189
2.71, 0.0053189
2.711, 0.0053189
2.712, 0.0053189
2.713, 0.0053189
2.714, 0.0053189
2.715, 0.0053189
2.716, 0.0053189
2.717, 0.0053189
2.718, 0.0053189
2.719, 0.0053189
2.72, 0.0053189
2.721, 0.0053189
2.722, 0.0053189
2.723, 0.0053189
2.724, 0.0053189
2.725, 0.0053189
2.726, 0.0053189
2.727, 0.0053189
2.728, 0.0053189
2.729, 0.0053189
2.73, 0.0053189
2.731, 0.0053189
2.732, 0.0053189
2.733, 0.0053189
2.734, 0.0053189
2.735, 0.0053189
2.736, 0.0053189
2.737, 0.0053189
2.738, 0.0053189
2.739, 0.0053189
2.74, 0.0053189
2.741, 0.0053189
2.742, 0.0053189
2.743, 0.0053189
2.744, 0.0053189
2.745, 0.0053189
2.746, 0.0053189
2.747, 0.0053189
2.748, 0.0053189
2.749, 0.0053189
2.75, 0.0053189
2.751, 0.0053189
2.752, 0.0053189
2.753, 0.0053189
2.754, 0.0053189
2.755, 0.0053189
2.756, 0.0053189
2.757, 0.0053189
2.758, 0.0053189
2.759, 0.0053189
2.76, 0.0053189
2.761, 0.0053189
2.762, 0.0053189
2.763, 0.0053189
2.764, 0.0053189
2.765, 0.0053189
2.766, 0.0053189
2.767, 0.0053189
2.768, 0.0053189
2.769, 0.0053189
2.77, 0.0053189
2.771, 0.0053189
2.772, 0.0053189
2.773, 0.0053189
2.774, 0.0053189
2.775, 0.0053189
2.776, 0.0053189
2.777, 0.0053189
2.778, 0.0053189
2.779, 0.0053189
2.78, 0.0053189
2.781, 0.0053189
2.782, 0.0053189
2.783, 0.0053189
2.784, 0.0053189
2.785, 0.0053189
2.786, 0.0053189
2.787, 0.0053189
2.788, 0.0053189
2.789, 0.0053189
2.79, 0.0053189
2.791, 0.0053189
2.792, 0.0053189
2.793, 0.0053189
2.794, 0.0053189
2.795, 0.0053189
2.796, 0.0053189
2.797, 0.0053189
2.798, 0.0053189
2.799, 0.0053189
2.8, 0.0053189
2.801, 0.0053189
2.802, 0.0053189
2.803, 0.0053189
2.804, 0.0053189
2.805, 0.0053189
2.806, 0.0053189
2.807, 0.0053189
2.808, 0.0053189
2.809, 0.0053189
2.81, 0.0053189
2.811, 0.0053189
2.812, 0.0053189
2.813, 0.0053189
2.814, 0.0053189
2.815, 0.0053189
2.816, 0.0053189
2.817, 0.0053189
2.818, 0.0053189
2.819, 0.0053189
2.82, 0.0053189
2.821, 0.0053189
2.822, 0.0053189
2.823, 0.0053189
2.824, 0.0053189
2.825, 0.0053189
2.826, 0.0053189
2.827, 0.0053189
2.828, 0.0053189
2.829, 0.0053189
2.83, 0.0053189
2.831, 0.0053189
2.832, 0.0053189
2.833, 0.0053189
2.834, 0.0053189
2.835, 0.0053189
2.836, 0.0053189
2.837, 0.0053189
2.838, 0.0053189
2.839, 0.0053189
2.84, 0.0053189
2.841, 0.0053189
2.842, 0.0053189
2.843, 0.0053189
2.844, 0.0053189
2.845, 0.0053189
2.846, 0.0053189
2.847, 0.0053189
2.848, 0.0053189
2.849, 0.0053189
2.85, 0.0053189
2.851, 0.0053189
2.852, 0.0053189
2.853, 0.0053189
2.854, 0.0053189
2.855, 0.0053189
2.856, 0.0053189
2.857, 0.0053189
2.858, 0.0053189
2.859, 0.0053189
2.86, 0.0053189
2.861, 0.0053189
2.862, 0.0053189
2.863, 0.0053189
2.864, 0.0053189
2.865, 0.0053189
2.866, 0.0053189
2.867, 0.0053189
2.868, 0.0053189
2.869, 0.0053189
2.87, 0.0053189
2.871, 0.0053189
2.872, 0.0053189
2.873, 0.0053189
2.874, 0.0053189
2.875, 0.0053189
2.876, 0.0053189
2.877, 0.0053189
2.878, 0.0053189
2.879, 0.0053189
2.88, 0.0053189
2.881, 0.0053189
2.882, 0.0053189
2.883, 0.0053189
2.884, 0.0053189
2.885, 0.0053189
2.886, 0.0053189
2.887, 0.0053189
2.888, 0.0053189
2.889, 0.0053189
2.89, 0.0053189
2.891, 0.0053189
2.892, 0.0053189
2.893, 0.0053189
2.894, 0.0053189
2.895, 0.0053189
2.896, 0.0053189
2.897, 0.0053189
2.898, 0.0053189
2.899, 0.0053189
2.9, 0.0053189
2.901, 0.0053189
2.902, 0.0053189
2.903, 0.0053189
2.904, 0.0053189
2.905, 0.0053189
