sim_time, one_dynamixel_simulation/joint1?0/position
2.925, 0.00411312
2.926, 0.00411312
2.927, 0.00411312
2.928, 0.00411312
2.929, 0.00411312
2.93, 0.00411312
2.931, 0.00411312
2.932, 0.00411312
2.933, 0.00411312
2.934, 0.00411312
2.935, 0.00411312
2.936, 0.00411312
2.937, 0.00411312
2.938, 0.00411312
2.939, 0.00411312
2.94, 0.00411312
2.941, 0.00411312
2.942, 0.00411312
2.943, 0.00411312
2.944, 0.00411312
2.945, 0.00411312
2.946, 0.00411312
2.947, 0.00411312
2.948, 0.00411312
2.949, 0.00411312
2.95, 0.00411312
2.951, 0.00411312
2.952, 0.00411312
2.953, 0.00411312
2.954, 0.00411312
2.955, 0.00411312
2.956, 0.00411312
2.957, 0.00411312
2.958, 0.00411312
2.959, 0.00411312
2.96, 0.00411312
2.961, 0.00411312
2.962, 0.00411312
2.963, 0.00411312
2.964, 0.00411312
2.965, 0.00411312
2.966, 0.00411312
2.967, 0.00411312
2.968, 0.00411312
2.969, 0.00411312
2.97, 0.00411312
2.971, 0.00411312
2.972, 0.00411312
2.973, 0.00411312
2.974, 0.00411312
2.975, 0.00411312
2.976, 0.00411312
2.977, 0.00411312
2.978, 0.00411312
2.979, 0.00411312
2.98, 0.00411312
2.981, 0.00411312
2.982, 0.00411312
2.983, 0.00411312
2.984, 0.00411312
2.985, 0.00411312
2.986, 0.00411312
2.987, 0.00411312
2.988, 0.00411312
2.989, 0.00411312
2.99, 0.00411312
2.991, 0.00411312
2.992, 0.00411312
2.993, 0.00411312
2.994, 0.00411312
2.995, 0.00411312
2.996, 0.00411312
2.997, 0.00411312
2.998, 0.00411312
2.999, 0.00411312
3, 0.00411312
3.001, 0.00411312
3.002, 0.00411312
3.003, 0.00411312
3.004, 0.00411312
3.005, 0.00411312
3.006, 0.00411312
3.007, 0.00411312
3.008, 0.00411312
3.009, 0.00411312
3.01, 0.00411312
3.011, 0.00411312
3.012, 0.00411312
3.013, 0.00411312
3.014, 0.00411312
3.015, 0.00411312
3.016, 0.00411312
3.017, 0.00411312
3.018, 0.00411312
3.019, 0.00411312
3.02, 0.00411312
3.021, 0.00411312
3.022, 0.00411312
3.023, 0.00411312
3.024, 0.00411312
3.025, 0.00411312
3.026, 0.00411312
3.027, 0.00411312
3.028, 0.00411312
3.029, 0.00411312
3.03, 0.00411312
3.031, 0.00411312
3.032, 0.00411312
3.033, 0.00411312
3.034, 0.00411312
3.035, 0.00411312
3.036, 0.00411312
3.037, 0.00411312
3.038, 0.00411312
3.039, 0.00411312
3.04, 0.00411312
3.041, 0.00411312
3.042, 0.00411312
3.043, 0.00411312
3.044, 0.00411312
3.045, 0.00411312
3.046, 0.00411312
3.047, 0.00411312
3.048, 0.00411312
3.049, 0.00411312
3.05, 0.00411312
3.051, 0.00411312
3.052, 0.00411312
3.053, 0.00411312
3.054, 0.00411312
3.055, 0.00411312
3.056, 0.00411312
3.057, 0.00411312
3.058, 0.00411312
3.059, 0.00411312
3.06, 0.00411312
3.061, 0.00411312
3.062, 0.00411312
3.063, 0.00411312
3.064, 0.00411312
3.065, 0.00411312
3.066, 0.00411312
3.067, 0.00411312
3.068, 0.00411312
3.069, 0.00411312
3.07, 0.00411312
3.071, 0.00411312
3.072, 0.00411312
3.073, 0.00411312
3.074, 0.00411312
3.075, 0.00411312
3.076, 0.00411312
3.077, 0.00411312
3.078, 0.00411312
3.079, 0.00411312
3.08, 0.00411312
3.081, 0.00411312
3.082, 0.00411312
3.083, 0.00411312
3.084, 0.00411312
3.085, 0.00411312
3.086, 0.00411312
3.087, 0.00411312
3.088, 0.00411312
3.089, 0.00411312
3.09, 0.00411312
3.091, 0.00411312
3.092, 0.00411312
3.093, 0.00411312
3.094, 0.00411312
3.095, 0.00411312
3.096, 0.00411312
3.097, 0.00411312
3.098, 0.00411312
3.099, 0.00411312
3.1, 0.00411312
3.101, 0.00411312
3.102, 0.00411312
3.103, 0.00411312
3.104, 0.00411312
3.105, 0.00411312
3.106, 0.00411312
3.107, 0.00411312
3.108, 0.00411312
3.109, 0.00411312
3.11, 0.00411312
3.111, 0.00411312
3.112, 0.00411312
3.113, 0.00411312
3.114, 0.00411312
3.115, 0.00411312
3.116, 0.00411312
3.117, 0.00411312
3.118, 0.00411312
3.119, 0.00411312
3.12, 0.00411312
3.121, 0.00411312
3.122, 0.00411312
3.123, 0.00411312
3.124, 0.00411312
3.125, 0.00411312
3.126, 0.00411312
3.127, 0.00411312
3.128, 0.00411312
3.129, 0.00411312
3.13, 0.00411312
3.131, 0.00411312
3.132, 0.00411312
3.133, 0.00411312
3.134, 0.00411312
3.135, 0.00411312
3.136, 0.00411312
3.137, 0.00411312
3.138, 0.00411312
3.139, 0.00411312
3.14, 0.00411312
3.141, 0.00411312
3.142, 0.00411312
3.143, 0.00411312
3.144, 0.00411312
3.145, 0.00411312
3.146, 0.00411312
3.147, 0.00411312
3.148, 0.00411312
3.149, 0.00411312
3.15, 0.00411312
3.151, 0.00411312
3.152, 0.00411312
3.153, 0.00411312
3.154, 0.00411312
3.155, 0.00411312
3.156, 0.00411312
3.157, 0.00411312
3.158, 0.00411312
3.159, 0.00411312
3.16, 0.00411312
3.161, 0.00411312
3.162, 0.00411312
3.163, 0.00411312
3.164, 0.00411312
3.165, 0.00411312
3.166, 0.00411312
3.167, 0.00411312
3.168, 0.00411312
3.169, 0.00411312
3.17, 0.00411312
3.171, 0.00411312
3.172, 0.00411312
3.173, 0.00411312
3.174, 0.00411312
3.175, 0.00411312
3.176, 0.00411312
3.177, 0.00411312
3.178, 0.00411312
3.179, 0.00411312
3.18, 0.00411312
3.181, 0.00411312
3.182, 0.00411312
3.183, 0.00411312
3.184, 0.00411312
3.185, 0.00411312
3.186, 0.00411312
3.187, 0.00411312
3.188, 0.00411312
3.189, 0.00411312
3.19, 0.00411312
3.191, 0.00411312
3.192, 0.00411312
3.193, 0.00411312
3.194, 0.00411312
3.195, 0.00411312
3.196, 0.00411312
3.197, 0.00411312
3.198, 0.00411312
3.199, 0.00411312
3.2, 0.00411312
3.201, 0.00411312
3.202, 0.00411312
3.203, 0.00411312
3.204, 0.00411312
3.205, 0.00411312
3.206, 0.00411312
3.207, 0.00411312
3.208, 0.00411312
3.209, 0.00411312
3.21, 0.00411312
3.211, 0.00411312
3.212, 0.00411312
3.213, 0.00411312
3.214, 0.00411312
3.215, 0.00411312
3.216, 0.00411312
3.217, 0.00411312
3.218, 0.00411312
3.219, 0.00411312
3.22, 0.00411312
3.221, 0.00411312
3.222, 0.00411312
3.223, 0.00411312
3.224, 0.00411312
3.225, 0.00411312
3.226, 0.00411312
3.227, 0.00411312
3.228, 0.00411312
3.229, 0.00411312
3.23, 0.00411312
3.231, 0.00411312
3.232, 0.00411312
3.233, 0.00411312
3.234, 0.00411312
3.235, 0.00411312
3.236, 0.00411312
3.237, 0.00411312
3.238, 0.00411312
3.239, 0.00411312
3.24, 0.00411312
3.241, 0.00411312
3.242, 0.00411312
3.243, 0.00411312
3.244, 0.00411312
3.245, 0.00411312
3.246, 0.00411312
3.247, 0.00411312
3.248, 0.00411312
3.249, 0.00411312
3.25, 0.00411312
3.251, 0.00411312
3.252, 0.00411312
3.253, 0.00411312
3.254, 0.00411312
3.255, 0.00411312
3.256, 0.00411312
3.257, 0.00411312
3.258, 0.00411312
3.259, 0.00411312
3.26, 0.00411312
3.261, 0.00411312
3.262, 0.00411312
3.263, 0.00411312
3.264, 0.00411312
3.265, 0.00411312
3.266, 0.00411312
3.267, 0.00411312
3.268, 0.00411312
3.269, 0.00411312
3.27, 0.00411312
3.271, 0.00411312
3.272, 0.00411312
3.273, 0.00411312
3.274, 0.00411312
3.275, 0.00411312
3.276, 0.00411312
3.277, 0.00411312
3.278, 0.00411312
3.279, 0.00411312
3.28, 0.00411312
3.281, 0.00411312
3.282, 0.00411312
3.283, 0.00411312
3.284, 0.00411312
3.285, 0.00411312
3.286, 0.00411312
3.287, 0.00411312
3.288, 0.00411312
3.289, 0.00411312
3.29, 0.00411312
3.291, 0.00411312
3.292, 0.00411312
3.293, 0.00411312
3.294, 0.00411312
3.295, 0.00411312
3.296, 0.00411312
3.297, 0.00411312
3.298, 0.00411312
3.299, 0.00411312
3.3, 0.00411312
3.301, 0.00411312
3.302, 0.00411312
3.303, 0.00411312
3.304, 0.00411312
3.305, 0.00411312
3.306, 0.00411312
3.307, 0.00411312
3.308, 0.00411312
3.309, 0.00411312
3.31, 0.00411312
3.311, 0.00411312
3.312, 0.00411312
3.313, 0.00411312
3.314, 0.00411312
3.315, 0.00411312
3.316, 0.00411312
3.317, 0.00411312
3.318, 0.00411312
3.319, 0.00411312
3.32, 0.00411312
3.321, 0.00411312
3.322, 0.00411312
3.323, 0.00411312
3.324, 0.00411312
3.325, 0.00411312
3.326, 0.00411312
3.327, 0.00411312
3.328, 0.00411312
3.329, 0.00411312
3.33, 0.00411312
3.331, 0.00411312
3.332, 0.00411312
3.333, 0.00411312
3.334, 0.00411312
3.335, 0.00411312
3.336, 0.00411312
3.337, 0.00411312
3.338, 0.00411312
3.339, 0.00411312
3.34, 0.00411312
3.341, 0.00411312
3.342, 0.00411312
3.343, 0.00411312
3.344, 0.00411312
3.345, 0.00411312
3.346, 0.00411312
3.347, 0.00411312
3.348, 0.00411312
3.349, 0.00411312
3.35, 0.00411312
3.351, 0.00411312
3.352, 0.00411312
3.353, 0.00411312
3.354, 0.00411312
3.355, 0.00411312
3.356, 0.00411312
3.357, 0.00411312
3.358, 0.00411312
3.359, 0.00411312
3.36, 0.00411312
3.361, 0.00411312
3.362, 0.00411312
3.363, 0.00411312
3.364, 0.00411312
3.365, 0.00411312
3.366, 0.00411312
3.367, 0.00411312
3.368, 0.00411312
3.369, 0.00411312
3.37, 0.00411312
3.371, 0.00411312
3.372, 0.00411312
3.373, 0.00411312
3.374, 0.00411312
3.375, 0.00411312
3.376, 0.00411312
3.377, 0.00411312
3.378, 0.00411312
3.379, 0.00411312
3.38, 0.00411312
3.381, 0.00411312
3.382, 0.00411312
3.383, 0.00411312
3.384, 0.00411312
3.385, 0.00411312
3.386, 0.00411312
3.387, 0.00411312
3.388, 0.00411312
3.389, 0.00411312
3.39, 0.00411312
3.391, 0.00411312
3.392, 0.00411312
3.393, 0.00411312
3.394, 0.00411312
3.395, 0.00411312
3.396, 0.00411312
3.397, 0.00411312
3.398, 0.00411312
3.399, 0.00411312
3.4, 0.00411312
3.401, 0.00411312
3.402, 0.00411312
3.403, 0.00411312
3.404, 0.00411312
3.405, 0.00411312
3.406, 0.00411312
3.407, 0.00411312
3.408, 0.00411312
3.409, 0.00411312
3.41, 0.00411312
3.411, 0.00411312
3.412, 0.00411312
3.413, 0.00411312
3.414, 0.00411312
3.415, 0.00411312
3.416, 0.00411312
3.417, 0.00411312
3.418, 0.00411312
3.419, 0.00411312
3.42, 0.00411312
3.421, 0.00411312
3.422, 0.00411312
3.423, 0.00411312
3.424, 0.00411312
3.425, 0.00411312
3.426, 0.00411312
3.427, 0.00411312
3.428, 0.00411312
3.429, 0.00411312
3.43, 0.00411312
3.431, 0.00411312
3.432, 0.00411312
3.433, 0.00411312
3.434, 0.00411312
3.435, 0.00411312
3.436, 0.00411312
3.437, 0.00411312
3.438, 0.00411312
3.439, 0.00411312
3.44, 0.00411312
3.441, 0.00411312
3.442, 0.00411312
3.443, 0.00411312
3.444, 0.00411312
3.445, 0.00411312
3.446, 0.00411312
3.447, 0.00411312
3.448, 0.00411312
3.449, 0.00411312
