20:28:25
X(G),Y(G),Z(G),X(A),Y(A),Z(A),T(ms)
0.90,0.41,0.02,-15.14,20.51,-1.17,97294
0.88,0.42,0.18,-8.01,21.92,-0.97,97295
0.88,0.58,0.13,-7.05,20.29,-1.36,97296
0.79,0.56,0.09,-10.66,18.24,-1.63,97297
0.85,0.49,0.14,-15.22,16.37,-1.45,97298
0.88,0.54,0.16,-8.82,19.69,-1.11,97299
0.89,0.60,0.24,-11.39,19.03,-1.35,97300
0.91,0.40,0.30,-11.47,20.61,-1.37,97301
0.87,0.53,0.22,-9.79,19.99,-1.08,97302
0.89,0.47,0.33,-9.56,16.72,-0.88,97303
0.92,0.51,0.45,-11.79,19.20,0.14,97304
0.91,0.44,0.26,-11.95,18.69,-0.28,97305
0.79,0.50,0.12,-12.56,15.56,-0.58,97306
0.85,0.51,0.14,-12.50,15.00,-1.36,97307
0.89,0.49,0.17,-13.24,18.35,-1.39,97308
0.83,0.50,0.09,-12.83,17.75,-1.27,97309
0.83,0.53,0.19,-11.25,17.41,-0.85,97310
0.85,0.57,0.19,-14.43,16.12,-0.90,97311
0.81,0.47,0.07,-15.11,16.66,-0.86,97312
0.89,0.50,0.16,-9.08,20.48,-0.30,97313
0.88,0.53,0.11,-6.47,18.89,-0.53,97314
0.93,0.51,0.34,-7.03,20.38,0.59,97315
0.75,0.57,0.12,-13.18,16.60,0.05,97316
0.80,0.52,0.20,-15.35,14.01,-1.02,97317
0.91,0.37,0.24,-11.57,12.94,-0.77,97318
0.94,0.40,0.21,-5.76,20.47,0.90,97319
0.80,0.54,0.12,-9.78,19.27,-0.79,97320
0.90,0.48,0.17,-10.05,18.49,-1.01,97321
0.88,0.45,0.23,-6.67,16.75,-0.30,97322
0.79,0.51,0.26,-10.61,19.23,0.53,97323
0.85,0.47,0.19,-13.03,20.45,-0.18,97324
0.91,0.40,0.27,-9.34,21.28,-0.36,97325
0.85,0.60,0.25,-11.82,17.54,-0.53,97326
0.81,0.54,0.07,-13.66,17.43,-0.40,97327
0.85,0.48,0.30,-11.95,19.04,0.04,97328
0.87,0.44,0.25,-11.60,15.94,-0.48,97329
0.93,0.41,0.35,-12.67,14.75,-0.27,97330
0.84,0.46,0.33,-14.72,15.37,-0.37,97331
0.88,0.46,0.22,-11.41,18.32,-0.80,97332
0.98,0.41,0.24,-5.37,18.39,0.01,97333
0.84,0.58,0.33,-7.03,17.95,0.91,97334
0.77,0.57,0.22,-13.03,15.33,-0.34,97335
0.87,0.48,0.18,-15.20,12.74,-1.30,97336
0.91,0.43,0.22,-9.82,11.53,-0.54,97337
0.81,0.44,0.20,-8.02,15.96,0.10,97338
0.87,0.41,0.32,-8.74,18.79,-0.18,97339
0.91,0.39,0.29,-7.46,17.30,-0.15,97340
0.85,0.52,0.38,-7.94,14.50,-0.73,97341
0.83,0.47,0.28,-8.56,13.97,-0.83,97342
0.79,0.50,0.30,-7.27,13.24,-1.31,97343
0.80,0.54,0.14,-7.91,12.93,-1.23,97344
0.87,0.56,0.15,-10.88,12.24,-0.82,97345
0.85,0.47,0.22,-12.59,13.85,-0.56,97346
0.83,0.47,0.21,-10.96,15.22,-0.92,97347
0.86,0.49,0.21,-8.81,11.96,-1.24,97348
0.87,0.50,0.31,-9.08,12.88,-1.60,97349
0.88,0.50,0.28,-10.63,14.04,-1.05,97350
0.90,0.40,0.35,-9.24,15.79,-1.10,97351
0.82,0.48,0.23,-8.86,12.40,-1.20,97352
0.82,0.51,0.17,-9.88,14.51,-0.76,97353
0.86,0.44,0.25,-7.33,16.80,-1.24,97354
0.94,0.46,0.35,-4.76,16.73,-0.42,97355
0.83,0.57,0.20,-8.06,12.47,-1.03,97356
0.72,0.59,0.15,-15.50,8.90,-1.95,97357
0.83,0.32,0.26,-4.70,17.22,-1.67,97358
0.83,0.45,0.32,-6.88,15.19,-1.53,97359
0.84,0.61,0.50,-10.99,12.67,-1.42,97360
0.69,0.56,0.00,-15.49,9.22,-1.02,97361
0.79,0.41,0.19,-11.16,12.75,-1.37,97362
0.88,0.41,0.38,-6.50,13.70,-1.66,97363
0.91,0.43,0.31,-6.90,11.79,-1.23,97364
0.78,0.50,0.15,-8.21,10.37,-0.38,97365
0.81,0.52,0.12,-7.34,12.21,-0.60,97366
0.83,0.43,0.24,-6.37,9.31,-0.55,97367
0.80,0.53,0.37,-9.27,8.76,-1.37,97368
0.84,0.42,0.32,-12.06,8.57,-2.60,97369
1.03,0.21,0.28,-2.17,15.86,-0.52,97370
0.87,0.48,0.27,0.47,14.58,0.16,97371
0.76,0.61,0.30,-4.27,12.24,0.08,97372
0.77,0.62,0.33,-12.01,8.18,-1.88,97373
0.92,0.36,0.21,-12.70,7.19,-1.27,97374
0.85,0.45,0.27,-3.60,10.59,1.41,97375
0.78,0.51,0.21,-4.50,10.56,-1.43,97376
0.82,0.49,0.28,-7.87,8.59,-2.52,97377
0.90,0.43,0.19,-8.92,7.37,-2.59,97378
0.81,0.44,0.16,-9.43,6.08,-1.91,97379
0.77,0.44,0.23,-9.54,7.57,-2.28,97380
