20:26:45
X(G),Y(G),Z(G),X(A),Y(A),Z(A),T(ms)
0.89,0.48,0.10,-0.53,-0.90,-1.47,77782
0.88,0.48,0.09,-0.51,-2.18,-1.67,77783
0.86,0.53,0.09,-0.18,-1.82,-2.01,77784
0.86,0.48,0.05,2.21,-2.24,-2.42,77785
0.90,0.50,0.06,3.66,-3.15,-2.48,77786
0.88,0.56,0.07,4.03,-3.43,-2.31,77787
0.88,0.54,0.02,3.92,-3.60,-2.45,77788
0.90,0.50,0.04,3.78,-4.01,-1.98,77789
0.87,0.52,0.03,3.31,-4.37,-2.18,77790
0.89,0.47,0.08,3.38,-3.60,-2.51,77791
0.88,0.50,0.08,2.53,-3.65,-2.68,77792
0.83,0.53,0.11,0.55,-3.65,-2.48,77793
0.88,0.50,0.14,0.13,-2.71,-2.76,77794
0.89,0.48,0.07,-0.49,-2.72,-2.98,77795
0.88,0.53,0.11,-1.06,-2.02,-3.06,77796
0.92,0.50,0.14,-0.47,-0.76,-2.72,77797
0.88,0.51,0.11,-0.83,0.18,-2.77,77798
0.88,0.52,0.08,-1.14,0.14,-2.63,77799
0.88,0.50,0.09,-0.98,-0.05,-2.60,77800
0.88,0.50,0.09,-0.25,0.45,-2.70,77801
0.87,0.52,0.06,-1.73,0.32,-2.89,77802
0.87,0.51,0.03,-1.97,0.27,-3.14,77803
0.88,0.51,0.08,-2.19,0.09,-3.04,77804
0.87,0.53,0.08,-2.04,0.08,-3.14,77805
0.87,0.52,0.09,-2.71,-0.73,-3.00,77806
0.87,0.51,0.08,-2.72,-0.73,-3.02,77807
0.88,0.50,0.09,-2.57,-0.82,-3.13,77808
0.87,0.50,0.04,-2.74,-0.35,-3.31,77809
0.88,0.51,0.04,-2.41,-0.03,-3.50,77810
0.88,0.52,0.08,-1.86,0.37,-3.27,77811
0.89,0.51,0.08,-1.63,0.16,-3.27,77812
0.87,0.50,0.07,-1.25,0.76,-3.13,77813
0.88,0.52,0.07,-0.48,1.53,-3.28,77814
0.90,0.51,0.06,-0.90,1.69,-3.20,77815
0.89,0.52,0.09,-0.99,0.95,-3.05,77816
0.86,0.51,0.07,-0.85,1.79,-2.89,77817
0.85,0.54,0.07,-1.26,1.76,-2.93,77818
0.89,0.52,0.08,-1.36,1.69,-2.89,77819
0.88,0.52,0.06,-1.86,1.25,-2.68,77820
0.86,0.52,0.06,-1.56,1.47,-2.44,77821
0.85,0.53,0.09,-2.17,1.83,-2.38,77822
0.88,0.52,0.07,-2.48,1.43,-2.28,77823
0.89,0.49,0.08,-1.95,1.62,-2.33,77824
0.87,0.51,0.04,-1.87,2.05,-2.16,77825
0.85,0.54,0.07,-2.50,2.25,-2.37,77826
0.89,0.51,0.08,-2.78,1.35,-2.20,77827
0.91,0.48,0.09,-1.85,1.50,-1.93,77828
0.86,0.52,0.09,-2.34,1.47,-1.95,77829
0.87,0.51,0.09,-1.69,2.31,-2.24,77830
0.88,0.47,0.08,-0.59,2.27,-2.20,77831
0.88,0.48,0.19,0.02,2.77,-1.97,77832
0.89,0.46,0.09,2.28,4.31,-2.36,77833
0.86,0.49,0.08,2.15,4.10,-2.23,77834
0.86,0.51,0.09,2.94,4.35,-2.58,77835
0.91,0.49,0.10,2.50,4.74,-2.47,77836
0.90,0.52,0.09,1.31,6.04,-1.98,77837
0.84,0.56,0.05,0.60,6.34,-1.98,77838
0.87,0.52,0.10,-0.11,6.09,-1.76,77839
0.90,0.56,0.15,-2.89,6.79,-0.98,77840
0.89,0.49,0.10,-4.10,7.04,-0.76,77841
0.88,0.51,0.06,-4.90,7.45,-0.83,77842
0.86,0.54,0.09,-5.57,7.43,-0.80,77843
0.89,0.54,0.08,-6.11,7.72,-0.81,77844
0.89,0.53,0.05,-6.44,7.39,-0.34,77845
0.89,0.54,0.06,-6.16,7.36,-0.40,77846
0.89,0.51,0.09,-6.86,5.52,-0.34,77847
0.88,0.51,0.07,-7.57,6.79,0.10,77848
0.90,0.43,0.10,-6.86,8.98,-0.34,77849
0.87,0.45,0.14,-5.81,10.18,-0.64,77850
0.89,0.47,0.14,-4.02,11.04,-0.88,77851
0.87,0.53,0.12,-5.00,11.64,-0.85,77852
0.84,0.55,0.01,-5.73,11.66,-0.57,77853
0.89,0.54,0.09,-5.05,11.55,-0.92,77854
0.92,0.54,0.12,-5.94,10.24,-0.46,77855
0.87,0.49,0.14,-8.08,10.78,0.24,77856
0.83,0.52,0.03,-8.36,10.47,0.02,77857
0.86,0.50,0.11,-8.68,10.05,-0.60,77858
0.92,0.52,0.13,-9.67,11.15,-0.51,77859
0.86,0.47,0.09,-9.56,10.89,-0.41,77860
0.85,0.51,0.08,-8.56,10.81,-0.50,77861
0.90,0.53,0.06,-7.66,10.17,-0.49,77862
0.90,0.56,0.05,-8.74,10.89,-0.49,77863
0.89,0.50,0.11,-8.92,11.98,-0.21,77864
0.87,0.50,0.13,-9.28,12.02,-0.29,77865
0.85,0.46,0.06,-7.09,11.60,-0.68,77866
0.89,0.54,0.05,-7.42,12.77,-0.94,77867
0.87,0.54,0.02,-6.86,13.07,-1.07,77868
0.89,0.51,0.13,-6.36,12.59,-1.13,77869
0.85,0.53,0.13,-6.70,10.20,-1.23,77870
0.84,0.47,0.09,-6.24,10.82,-1.04,77871
0.84,0.47,0.09,-4.92,11.69,-1.66,77872
0.86,0.49,0.06,-3.75,11.49,-1.73,77873
0.93,0.51,0.21,-3.58,11.36,-1.63,77874
0.85,0.51,0.16,-5.26,11.99,-1.09,77875
0.85,0.49,0.14,-4.38,12.68,-0.95,77876
0.87,0.50,0.10,-4.62,12.48,-1.35,77877
0.87,0.51,0.11,-7.11,11.56,-1.40,77878
0.87,0.48,0.04,-7.82,11.09,-1.54,77879
0.86,0.50,0.12,-7.05,11.53,-1.87,77880
0.86,0.53,0.16,-6.95,9.98,-2.15,77881
0.89,0.56,0.14,-9.67,10.75,-1.30,77882
0.87,0.52,0.07,-11.12,11.17,-0.95,77883
0.86,0.50,0.06,-10.13,12.06,-1.45,77884
0.92,0.49,0.08,-10.05,11.06,-1.27,77885
0.88,0.51,0.04,-9.74,11.83,-1.63,77886
0.90,0.50,0.10,-9.01,12.57,-1.76,77887
0.86,0.54,0.10,-8.30,12.85,-1.20,77888
0.90,0.47,0.18,-8.41,12.62,-1.03,77889
0.84,0.49,0.19,-9.09,13.69,-0.90,77890
0.88,0.46,0.07,-6.46,14.68,-1.91,77891
0.89,0.46,0.18,-5.68,13.91,-1.86,77892
0.91,0.51,0.25,-5.76,14.09,-1.60,77893
0.88,0.51,0.18,-6.69,14.17,-1.21,77894
0.85,0.56,0.16,-7.47,12.69,-1.04,77895
0.89,0.45,0.20,-6.03,10.88,-0.87,77896
0.90,0.46,0.21,-6.68,12.35,-0.74,77897
0.86,0.52,0.17,-6.92,12.14,-1.59,77898
0.93,0.50,0.25,-6.07,12.43,-1.71,77899
0.87,0.51,0.17,-6.96,9.73,-0.81,77900
0.84,0.55,0.15,-6.09,10.89,-0.67,77901
0.88,0.46,0.16,-4.79,11.69,-0.60,77902
0.86,0.48,0.16,-4.47,10.73,-0.50,77903
0.82,0.51,0.07,-4.89,8.67,-1.02,77904
0.83,0.49,0.07,-4.42,11.18,-1.54,77905
0.87,0.48,0.17,-6.05,12.03,-1.35,77906
0.84,0.46,0.13,-5.77,11.29,-1.42,77907
0.84,0.51,0.11,-6.81,10.36,-1.72,77908
0.85,0.54,0.11,-7.81,10.00,-1.76,77909
0.85,0.50,0.11,-7.69,10.34,-1.73,77910
0.83,0.57,0.12,-9.61,8.89,-1.68,77911
0.91,0.52,0.27,-11.26,10.08,-0.96,77912
0.92,0.46,0.16,-10.76,12.65,-0.82,77913
0.82,0.58,0.16,-10.37,12.28,-0.93,77914
0.92,0.52,0.14,-8.11,10.41,-0.90,77915
0.95,0.46,0.22,-7.76,11.14,-0.08,77916
0.85,0.51,0.22,-6.30,11.87,-0.07,77917
0.89,0.45,0.21,-4.43,11.69,-0.06,77918
0.89,0.41,0.14,-3.50,10.46,-0.64,77919
0.86,0.47,0.21,-2.85,12.93,-0.84,77920
0.89,0.46,0.16,-2.63,12.58,-1.20,77921
0.89,0.47,0.15,-3.23,11.55,-1.34,77922
0.82,0.56,0.15,-4.14,10.01,-1.16,77923
0.85,0.51,0.15,-4.47,9.53,-0.84,77924
0.83,0.52,0.09,-5.98,8.57,-0.79,77925
0.85,0.55,0.09,-6.05,7.32,-1.26,77926
0.83,0.57,0.20,-8.44,6.82,-0.99,77927
0.89,0.51,0.20,-8.22,8.99,-1.10,77928
0.82,0.56,0.12,-8.59,6.92,-0.80,77929
0.89,0.47,0.19,-6.04,7.81,-0.27,77930
0.88,0.48,0.31,-5.11,8.76,0.37,77931
0.86,0.44,0.14,-5.43,9.01,-0.52,77932
0.87,0.43,0.17,-2.93,9.63,-0.59,77933
0.86,0.45,0.20,-1.89,8.98,-1.08,77934
0.89,0.43,0.35,-1.44,11.16,-1.10,77935
0.85,0.53,0.16,-3.63,10.74,-1.18,77936
0.89,0.51,0.13,-2.90,10.72,-1.63,77937
0.85,0.54,0.17,-3.08,8.74,-1.25,77938
0.86,0.52,0.21,-4.43,7.76,-1.26,77939
0.85,0.49,0.12,-4.56,5.98,-1.54,77940
0.87,0.53,0.25,-4.64,6.30,-1.34,77941
0.80,0.57,0.06,-5.57,3.87,-1.63,77942
0.87,0.49,0.18,-6.45,5.26,-1.50,77943
0.93,0.41,0.20,-5.09,6.69,-1.95,77944
0.85,0.52,0.22,-6.69,4.86,-2.01,77945
0.85,0.46,0.15,-3.78,3.72,-2.43,77946
0.87,0.46,0.18,-4.44,5.63,-2.34,77947
0.87,0.51,0.21,-3.69,6.34,-2.76,77948
0.89,0.46,0.19,-3.82,5.42,-2.58,77949
0.85,0.54,0.19,-3.66,3.30,-2.25,77950
0.90,0.47,0.23,-2.27,6.17,-2.44,77951
0.84,0.49,0.13,-4.48,4.31,-2.44,77952
0.82,0.48,0.16,-3.82,4.41,-2.62,77953
0.84,0.53,0.19,-3.60,3.08,-2.89,77954
0.85,0.50,0.20,-4.13,4.12,-2.51,77955
0.83,0.46,0.12,-7.05,4.14,-2.67,77956
0.82,0.47,0.19,-7.30,4.31,-2.81,77957
0.89,0.52,0.22,-7.64,4.03,-3.30,77958
0.88,0.51,0.14,-7.55,3.00,-3.43,77959
0.88,0.50,0.21,-6.27,5.12,-3.08,77960
0.83,0.56,0.14,-6.43,2.58,-2.41,77961
0.94,0.48,0.34,-6.41,3.01,-1.65,77962
0.86,0.46,0.18,-5.83,3.31,-1.28,77963
0.84,0.47,0.20,-4.17,5.41,-1.56,77964
0.90,0.42,0.20,-1.16,5.82,-2.08,77965
0.92,0.49,0.29,-1.00,5.33,-1.40,77966
0.83,0.51,0.18,-1.95,3.34,-1.42,77967
0.85,0.46,0.23,-1.23,4.75,-1.08,77968
0.81,0.47,0.18,-0.43,2.64,-1.51,77969
0.91,0.46,0.35,-0.44,4.21,-1.61,77970
0.89,0.42,0.23,-1.08,5.50,-1.79,77971
0.83,0.54,0.14,-3.31,4.41,-1.73,77972
0.87,0.53,0.18,-0.76,4.10,-2.14,77973
0.88,0.54,0.20,-2.34,3.06,-1.50,77974
0.87,0.49,0.19,-2.65,4.32,-1.11,77975
0.83,0.56,0.18,-4.69,3.05,-0.95,77976
0.91,0.44,0.18,-1.92,3.03,-1.15,77977
0.86,0.46,0.22,-5.34,3.07,-1.08,77978
0.85,0.45,0.11,-5.17,5.35,-1.64,77979
0.87,0.43,0.20,-4.07,5.47,-2.05,77980
0.85,0.49,0.24,-3.60,3.34,-1.81,77981
0.82,0.53,0.15,-4.70,4.04,-1.67,77982
0.87,0.52,0.15,-4.27,6.06,-1.84,77983
0.89,0.48,0.27,-4.02,5.08,-1.54,77984
0.88,0.51,0.25,-5.43,2.55,-1.26,77985
0.83,0.50,0.14,-6.24,5.40,-1.35,77986
0.85,0.49,0.17,-5.25,7.30,-1.82,77987
0.91,0.45,0.30,-3.84,6.02,-1.39,77988
0.88,0.48,0.30,-5.55,3.60,-1.31,77989
0.83,0.50,0.16,-6.95,4.52,-1.18,77990
0.91,0.46,0.26,-4.07,6.71,-1.98,77991
0.85,0.56,0.20,-3.78,2.66,-1.98,77992
0.82,0.57,0.17,-5.76,1.54,-1.70,77993
0.85,0.48,0.10,-4.89,4.97,-1.60,77994
0.88,0.45,0.19,-2.40,5.90,-1.51,77995
0.86,0.49,0.13,-2.05,3.32,-1.36,77996
0.88,0.41,0.19,-1.88,4.59,-1.60,77997
0.89,0.43,0.19,-2.65,6.80,-1.63,77998
0.87,0.49,0.25,-1.37,6.47,-2.02,77999
0.85,0.54,0.19,-2.69,2.76,-2.82,78000
0.91,0.47,0.34,-3.13,4.08,-2.17,78001
0.86,0.54,0.22,-6.37,4.09,-2.10,78002
0.85,0.50,0.20,-6.40,3.50,-2.08,78003
0.86,0.50,0.24,-4.75,3.30,-2.44,78004
0.87,0.50,0.26,-5.41,2.69,-2.44,78005
0.92,0.41,0.22,-4.32,5.75,-2.25,78006
0.86,0.48,0.18,-4.56,5.85,-2.02,78007
0.86,0.49,0.22,-3.62,4.38,-1.96,78008
0.87,0.46,0.23,-4.71,5.37,-2.42,78009
0.89,0.40,0.24,-5.07,8.00,-2.23,78010
0.85,0.48,0.18,-5.05,7.27,-2.31,78011
0.86,0.51,0.22,-4.23,5.44,-2.80,78012
0.87,0.54,0.27,-5.25,5.08,-3.16,78013
0.86,0.48,0.17,-5.16,5.16,-2.81,78014
0.89,0.49,0.22,-4.37,5.49,-2.51,78015
0.83,0.53,0.25,-3.83,2.99,-2.50,78016
0.86,0.50,0.25,-4.90,4.50,-2.40,78017
0.90,0.43,0.21,-4.08,6.21,-2.07,78018
0.85,0.47,0.28,-3.42,6.67,-2.05,78019
0.87,0.47,0.23,-4.11,5.50,-2.15,78020
0.88,0.47,0.21,-4.23,7.94,-1.89,78021
0.85,0.50,0.16,-4.60,8.53,-2.08,78022
0.87,0.51,0.16,-4.23,8.13,-2.03,78023
0.87,0.56,0.15,-5.58,5.33,-2.06,78024
0.83,0.51,0.15,-6.05,6.18,-1.81,78025
0.84,0.47,0.23,-4.79,8.60,-1.87,78026
0.88,0.51,0.22,-4.07,7.19,-1.48,78027
0.84,0.51,0.27,-6.11,5.30,-0.98,78028
0.81,0.42,0.21,-4.95,6.98,-0.92,78029
0.84,0.42,0.25,-3.27,8.98,-1.06,78030
0.87,0.48,0.25,-3.36,7.20,-1.17,78031
0.88,0.45,0.29,-5.25,6.61,-0.76,78032
0.83,0.43,0.24,-5.34,8.52,-0.60,78033
0.87,0.48,0.24,-4.55,9.14,-1.00,78034
0.87,0.54,0.19,-4.62,7.35,-0.82,78035
0.85,0.54,0.23,-5.52,7.36,-0.72,78036
0.89,0.46,0.16,-4.53,8.85,-0.29,78037
0.88,0.51,0.26,-4.69,8.47,-0.13,78038
0.87,0.50,0.21,-4.03,7.25,-0.12,78039
0.87,0.44,0.29,-3.99,8.31,0.16,78040
0.82,0.44,0.21,-5.34,8.31,-0.40,78041
0.86,0.42,0.21,-3.95,10.06,-0.50,78042
0.87,0.47,0.23,-2.75,8.89,-0.77,78043
0.88,0.54,0.26,-4.18,9.22,-0.80,78044
0.86,0.48,0.20,-7.27,8.69,-0.50,78045
0.87,0.47,0.23,-6.85,9.30,-0.21,78046
0.86,0.48,0.24,-5.32,8.64,-0.84,78047
0.85,0.57,0.14,-7.07,7.54,-1.50,78048
0.88,0.47,0.13,-7.06,8.39,-1.32,78049
0.91,0.47,0.20,-6.77,9.62,-0.74,78050
0.87,0.49,0.26,-6.02,8.72,-0.86,78051
0.85,0.47,0.21,-6.59,9.55,-1.35,78052
0.84,0.44,0.19,-7.22,11.30,-0.87,78053
0.87,0.41,0.26,-5.94,12.85,-1.19,78054
0.89,0.45,0.19,-5.14,10.58,-1.25,78055
0.84,0.49,0.28,-5.81,9.44,-1.37,78056
0.84,0.45,0.24,-6.27,10.27,-1.65,78057
0.85,0.44,0.24,-6.61,9.63,-1.46,78058
0.84,0.51,0.35,-7.47,9.25,-1.49,78059
0.88,0.51,0.27,-7.85,8.74,-1.79,78060
0.88,0.46,0.26,-6.92,9.11,-1.64,78061
0.84,0.54,0.27,-7.34,8.82,-1.71,78062
0.88,0.51,0.28,-8.65,8.72,-1.53,78063
0.88,0.45,0.27,-9.26,8.72,-1.07,78064
0.85,0.40,0.27,-6.67,10.47,-1.17,78065
0.87,0.41,0.29,-4.14,9.82,-1.43,78066
0.90,0.47,0.38,-3.83,10.17,-1.68,78067
0.81,0.49,0.25,-5.21,8.87,-1.56,78068
0.86,0.41,0.26,-2.52,10.61,-0.74,78069
0.83,0.46,0.32,-1.64,8.62,-1.09,78070
0.83,0.51,0.28,-3.64,7.76,-1.23,78071
0.88,0.40,0.23,-1.43,9.04,-1.43,78072
0.86,0.49,0.25,-1.70,8.24,-1.60,78073
0.83,0.54,0.22,-1.94,6.84,-1.85,78074
0.84,0.56,0.20,-4.95,6.04,-1.81,78075
0.85,0.49,0.26,-6.08,7.09,-1.18,78076
0.86,0.44,0.31,-6.89,8.55,-1.28,78077
0.83,0.48,0.23,-8.42,6.51,-1.52,78078
0.85,0.48,0.22,-9.28,7.94,-1.96,78079
0.88,0.43,0.18,-9.21,9.57,-2.33,78080
0.87,0.46,0.27,-7.37,9.97,-2.00,78081
0.88,0.50,0.30,-7.34,8.64,-1.99,78082
0.79,0.52,0.26,-8.05,8.18,-1.87,78083
0.89,0.39,0.20,-6.09,10.45,-1.27,78084
0.86,0.44,0.35,-4.17,11.17,-1.11,78085
0.86,0.46,0.28,-3.94,8.79,-1.44,78086
0.89,0.37,0.25,-2.15,8.87,-0.94,78087
0.81,0.47,0.23,-2.97,8.31,-0.90,78088
0.80,0.47,0.29,-3.96,8.21,-1.51,78089
0.89,0.41,0.35,-3.81,9.29,-1.64,78090
0.85,0.46,0.31,-5.02,9.14,-1.34,78091
0.81,0.55,0.22,-5.70,8.88,-2.33,78092
0.83,0.59,0.15,-7.67,6.63,-2.31,78093
0.91,0.51,0.26,-7.01,6.06,-1.54,78094
0.80,0.58,0.24,-10.22,4.01,-1.58,78095
0.84,0.41,0.26,-8.24,5.59,-1.31,78096
0.87,0.38,0.27,-6.01,6.67,-1.50,78097
0.88,0.43,0.44,-5.30,8.17,-1.56,78098
0.87,0.42,0.23,-5.50,7.91,-1.15,78099
0.90,0.39,0.31,-2.52,10.20,-0.69,78100
0.82,0.46,0.33,-1.38,7.96,-0.57,78101
0.82,0.43,0.34,-3.09,7.06,-0.47,78102
0.85,0.41,0.29,-2.72,9.14,-0.63,78103
0.83,0.48,0.26,-3.41,8.90,-1.03,78104
0.85,0.45,0.27,-3.02,7.41,-1.74,78105
0.87,0.50,0.26,-5.89,7.30,-1.56,78106
