sim_time, /gazebo/default/one_dynamixel_simulation/link2/MPU6050sensor/imu?p=/linear_acceleration/x
4.05, -7.50746
4.1, -7.50746
4.15, -7.50746
4.2, -7.50746
4.25, -7.50746
4.3, -7.50746
4.35, -7.50746
4.4, -7.50746
4.45, -7.50746
4.5, -7.50746
4.55, -7.50746
4.6, -7.50746
4.65, -7.50746
4.7, -7.50746
4.75, -7.50746
4.8, -7.50746
4.85, -7.50746
4.901, -7.50746
4.95, -7.50746
5, -7.50746
5.05, -7.50746
5.1, -7.50746
5.15, -7.50746
5.2, -7.50746
5.25, -7.50746
5.3, -7.50746
5.35, -7.50746
5.4, -7.50746
5.45, -7.50746
5.5, -7.50746
5.551, -7.50746
5.601, -7.50743
5.65, -7.50749
5.7, -7.50747
5.75, -7.50746
5.8, -7.50746
5.85, -7.50746
5.9, -7.50746
5.95, -7.50746
6, -7.50746
6.05, -7.50746
6.1, -7.50746
6.15, -7.50746
6.201, -7.50746
6.25, -7.50746
6.3, -7.50746
6.35, -7.50746
6.401, -7.50746
6.45, -7.50746
6.5, -7.50746
6.55, -7.50746
6.6, -7.50746
6.65, -7.50746
6.701, -7.50746
6.75, -7.50746
6.8, -7.50746
6.851, -7.50746
6.901, -7.50746
6.951, -7.50746
7.001, -7.50746
7.05, -7.50746
7.1, -7.50746
7.15, -7.50746
7.201, -7.50746
7.251, -7.50746
7.3, -7.50746
7.35, -7.50746
7.4, -7.50746
7.45, -7.50746
7.499, -7.50746
7.55, -7.50746
7.6, -7.49003
7.65, -7.50263
7.7, -7.50627
7.75, -7.50688
7.8, -7.50685
7.85, -7.50667
7.9, -7.50641
7.95, -7.5061
8, -7.50574
8.05, -7.50534
8.1, -7.5049
8.15, -7.5044
8.2, -7.50387
8.25, -7.50328
8.3, -7.50265
8.35, -7.50197
8.399, -7.50125
8.45, -7.50049
8.5, -7.49967
8.55, -7.49879
8.6, -7.49789
8.65, -7.49694
8.7, -7.49594
8.751, -7.4949
8.8, -7.49383
8.85, -7.49267
8.9, -7.49152
8.95, -7.49026
9, -7.48902
9.051, -7.48767
9.1, -7.48634
9.15, -7.48493
9.2, -7.48348
9.25, -7.48198
9.3, -7.48043
9.35, -7.47884
9.4, -7.4772
9.45, -7.47552
9.5, -7.47379
9.55, -7.47198
9.6, -7.5066
9.65, -7.48247
9.7, -7.47655
9.75, -7.47673
9.8, -7.47809
9.851, -7.47967
9.9, -7.4812
9.95, -7.48272
10.001, -7.48422
10.051, -7.48566
10.101, -7.48704
10.15, -7.48838
10.2, -7.48967
10.25, -7.4909
10.301, -7.49212
10.35, -7.49326
10.4, -7.49437
10.45, -7.49543
10.5, -7.49645
10.551, -7.49745
10.601, -7.49838
10.65, -7.49925
10.701, -7.5001
10.751, -7.50088
10.8, -7.50162
10.851, -7.50233
10.9, -7.50297
10.95, -7.50357
11, -7.50414
11.05, -7.50465
11.1, -7.50512
11.15, -7.50555
11.2, -7.50593
11.25, -7.50626
11.3, -7.50654
11.35, -7.50679
11.4, -7.50698
11.45, -7.50713
11.5, -7.50724
11.55, -7.50729
11.601, -7.50731
11.65, -7.50727
11.7, -7.50719
11.751, -7.50706
11.8, -7.50689
11.851, -7.50667
11.901, -7.50641
11.95, -7.50609
12, -7.50574
12.05, -7.50535
12.1, -7.50489
12.15, -7.50441
12.2, -7.50386
12.25, -7.50329
12.3, -7.50264
12.351, -7.50197
12.401, -7.50125
12.45, -7.50049
12.5, -7.49968
12.55, -7.49882
12.601, -7.4979
12.651, -7.49695
12.7, -7.49597
12.75, -7.49493
12.799, -7.49384
12.849, -7.49271
12.9, -7.49153
12.95, -7.4903
13, -7.48903
13.05, -7.48769
13.1, -7.48633
13.15, -7.48492
13.2, -7.4835
13.25, -7.48199
13.3, -7.48045
13.35, -7.47882
13.4, -7.47722
13.451, -7.4755
13.501, -7.47378
13.55, -7.47204
13.601, -7.42086
13.65, -7.4613
13.7, -7.47533
13.75, -7.48061
13.8, -7.484
13.85, -7.48688
13.9, -7.48955
13.95, -7.49195
14, -7.49419
14.051, -7.49629
14.1, -7.49813
14.15, -7.49982
14.201, -7.50137
14.25, -7.50267
14.3, -7.50382
14.35, -7.50479
14.4, -7.50556
14.45, -7.50615
14.5, -7.50657
14.55, -7.50681
14.6, -7.54191
14.649, -7.51692
14.7, -7.50936
14.751, -7.50782
14.8, -7.50753
14.85, -7.50747
14.899, -7.50746
14.95, -7.50746
14.999, -7.50746
15.05, -7.50746
