sim_time, /gazebo/default/one_dynamixel_simulation/link2/MPU6050sensor/imu?p=/angular_velocity/y
4.05, 1.0586e-14
4.1, -1.05228e-14
4.15, 1.08494e-14
4.2, -1.14951e-14
4.25, -1.09802e-14
4.3, 1.05874e-14
4.35, -1.09867e-14
4.4, 1.08494e-14
4.45, 1.05825e-14
4.5, -1.1236e-14
4.55, 1.0846e-14
4.6, -1.09202e-14
4.65, 1.05932e-14
4.7, 1.01227e-14
4.75, -1.1239e-14
4.8, 1.05903e-14
4.85, -1.0527e-14
4.901, 9.64762e-15
4.95, 1.00557e-14
5, -1.05223e-14
5.05, 1.05907e-14
5.1, -1.09944e-14
5.15, -1.09792e-14
5.2, 1.0587e-14
5.25, -1.0524e-14
5.3, 1.08487e-14
5.35, 1.05823e-14
5.4, -1.052e-14
5.45, 1.08449e-14
5.5, -1.09843e-14
5.551, 1.08495e-14
5.601, 4.40692e-05
5.65, -9.14546e-06
5.7, -2.01539e-05
5.75, -2.23408e-05
5.8, -2.27753e-05
5.85, -2.28616e-05
5.9, -2.28787e-05
5.95, -2.28821e-05
6, -2.28828e-05
6.05, -2.28829e-05
6.1, -2.2883e-05
6.15, -2.2883e-05
6.201, -2.2883e-05
6.25, -2.2883e-05
6.3, -2.2883e-05
6.35, -2.2883e-05
6.401, -2.2883e-05
6.45, -2.2883e-05
6.5, -2.2883e-05
6.55, -2.2883e-05
6.6, -2.2883e-05
6.65, -2.2883e-05
6.701, -2.2883e-05
6.75, -2.2883e-05
6.8, -2.2883e-05
6.851, -2.2883e-05
6.901, -2.2883e-05
6.951, -2.2883e-05
7.001, -2.2883e-05
7.05, -2.2883e-05
7.1, -2.2883e-05
7.15, -2.2883e-05
7.201, -2.2883e-05
7.251, -2.2883e-05
7.3, -2.2883e-05
7.35, -2.2883e-05
7.4, -2.2883e-05
7.45, -2.2883e-05
7.499, -2.2883e-05
7.55, -2.2883e-05
7.6, 0.0283367
7.65, 0.0359693
7.7, 0.0374855
7.75, 0.0377867
7.8, 0.0378465
7.85, 0.0378584
7.9, 0.0378608
7.95, 0.0378612
8, 0.0378613
8.05, 0.0378613
8.1, 0.0378613
8.15, 0.0378613
8.2, 0.0378613
8.25, 0.0378613
8.3, 0.0378613
8.35, 0.0378613
8.399, 0.0378612
8.45, 0.0378612
8.5, 0.0378612
8.55, 0.0378612
8.6, 0.0378612
8.65, 0.0378612
8.7, 0.0378612
8.751, 0.0378612
8.8, 0.0378612
8.85, 0.0378612
8.9, 0.0378612
8.95, 0.0378612
9, 0.0378612
9.051, 0.0378611
9.1, 0.0378611
9.15, 0.0378611
9.2, 0.0378611
9.25, 0.0378611
9.3, 0.0378611
9.35, 0.0378611
9.4, 0.0378611
9.45, 0.0378611
9.5, 0.0378611
9.55, 0.0378611
9.6, -0.0188237
9.65, -0.0340792
9.7, -0.0371098
9.75, -0.0377118
9.8, -0.0378314
9.851, -0.0378554
9.9, -0.0378599
9.95, -0.0378609
10.001, -0.0378611
10.051, -0.0378611
10.101, -0.0378611
10.15, -0.0378611
10.2, -0.0378611
10.25, -0.0378612
10.301, -0.0378612
10.35, -0.0378612
10.4, -0.0378612
10.45, -0.0378612
10.5, -0.0378612
10.551, -0.0378612
10.601, -0.0378612
10.65, -0.0378612
10.701, -0.0378612
10.751, -0.0378612
10.8, -0.0378612
10.851, -0.0378613
10.9, -0.0378613
10.95, -0.0378613
11, -0.0378613
11.05, -0.0378613
11.1, -0.0378613
11.15, -0.0378613
11.2, -0.0378613
11.25, -0.0378613
11.3, -0.0378613
11.35, -0.0378613
11.4, -0.0378614
11.45, -0.0378614
11.5, -0.0378614
11.55, -0.0378614
11.601, -0.0378614
11.65, -0.0378614
11.7, -0.0378614
11.751, -0.0378614
11.8, -0.0378614
11.851, -0.0378615
11.901, -0.0378615
11.95, -0.0378615
12, -0.0378615
12.05, -0.0378615
12.1, -0.0378615
12.15, -0.0378615
12.2, -0.0378615
12.25, -0.0378616
12.3, -0.0378616
12.351, -0.0378616
12.401, -0.0378616
12.45, -0.0378616
12.5, -0.0378616
12.55, -0.0378616
12.601, -0.0378617
12.651, -0.0378617
12.7, -0.0378617
12.75, -0.0378617
12.799, -0.0378617
12.849, -0.0378617
12.9, -0.0378617
12.95, -0.0378618
13, -0.0378618
13.05, -0.0378618
13.1, -0.0378618
13.15, -0.0378618
13.2, -0.0378618
13.25, -0.0378618
13.3, -0.0378619
13.35, -0.0378619
13.4, -0.0378619
13.451, -0.0378619
13.501, -0.0378619
13.55, -0.0378619
13.601, 0.0480745
13.65, 0.0700505
13.7, 0.0745967
13.75, 0.0754999
13.8, 0.0756792
13.85, 0.0757148
13.9, 0.0757218
13.95, 0.0757232
14, 0.0757234
14.051, 0.0757234
14.1, 0.0757233
14.15, 0.0757233
14.201, 0.0757232
14.25, 0.0757232
14.3, 0.0757231
14.35, 0.0757231
14.4, 0.075723
14.45, 0.075723
14.5, 0.0757229
14.55, 0.0757229
14.6, 0.0190378
14.649, 0.00390626
14.7, 0.000751327
14.751, 0.000144509
14.8, 2.9651e-05
14.85, 5.89041e-06
14.899, 1.20862e-06
14.95, 2.32464e-07
14.999, 4.7698e-08
15.05, 9.17418e-09
