sim_time, /gazebo/default/one_dynamixel_simulation/link2/MPU6050sensor/imu?p=/angular_velocity/x
4.05, 8.88204e-15
4.1, -8.8291e-15
4.15, 9.10314e-15
4.2, -9.64481e-15
4.25, -9.21278e-15
4.3, 8.88332e-15
4.35, -9.2182e-15
4.4, 9.1031e-15
4.45, 8.87908e-15
4.5, -9.42742e-15
4.55, 9.10015e-15
4.6, -9.16245e-15
4.65, 8.88798e-15
4.7, 8.4933e-15
4.75, -9.42989e-15
4.8, 8.88565e-15
4.85, -8.83257e-15
4.901, 8.09467e-15
4.95, 8.4372e-15
5, -8.82868e-15
5.05, 8.88615e-15
5.1, -9.22477e-15
5.15, -9.21195e-15
5.2, 8.88288e-15
5.25, -8.83006e-15
5.3, 9.1026e-15
5.35, 8.87896e-15
5.4, -8.82669e-15
5.45, 9.09933e-15
5.5, -9.21625e-15
5.551, 9.10305e-15
5.601, 3.69758e-05
5.65, -7.6734e-06
5.7, -1.69099e-05
5.75, -1.87448e-05
5.8, -1.91094e-05
5.85, -1.91818e-05
5.9, -1.91962e-05
5.95, -1.9199e-05
6, -1.91996e-05
6.05, -1.91997e-05
6.1, -1.91997e-05
6.15, -1.91997e-05
6.201, -1.91997e-05
6.25, -1.91997e-05
6.3, -1.91997e-05
6.35, -1.91997e-05
6.401, -1.91997e-05
6.45, -1.91997e-05
6.5, -1.91997e-05
6.55, -1.91997e-05
6.6, -1.91997e-05
6.65, -1.91997e-05
6.701, -1.91997e-05
6.75, -1.91997e-05
6.8, -1.91997e-05
6.851, -1.91997e-05
6.901, -1.91997e-05
6.951, -1.91997e-05
7.001, -1.91997e-05
7.05, -1.91997e-05
7.1, -1.91997e-05
7.15, -1.91997e-05
7.201, -1.91997e-05
7.251, -1.91997e-05
7.3, -1.91997e-05
7.35, -1.91997e-05
7.4, -1.91997e-05
7.45, -1.91997e-05
7.499, -1.91997e-05
7.55, -1.91997e-05
7.6, 0.0237756
7.65, 0.0301796
7.7, 0.0314518
7.75, 0.0317045
7.8, 0.0317547
7.85, 0.0317647
7.9, 0.0317667
7.95, 0.0317671
8, 0.0317671
8.05, 0.0317671
8.1, 0.0317671
8.15, 0.0317671
8.2, 0.0317671
8.25, 0.0317671
8.3, 0.0317671
8.35, 0.0317671
8.399, 0.0317671
8.45, 0.0317671
8.5, 0.0317671
8.55, 0.0317671
8.6, 0.031767
8.65, 0.031767
8.7, 0.031767
8.751, 0.031767
8.8, 0.031767
8.85, 0.031767
8.9, 0.031767
8.95, 0.031767
9, 0.031767
9.051, 0.031767
9.1, 0.031767
9.15, 0.031767
9.2, 0.031767
9.25, 0.031767
9.3, 0.031767
9.35, 0.031767
9.4, 0.0317669
9.45, 0.0317669
9.5, 0.0317669
9.55, 0.0317669
9.6, -0.0157938
9.65, -0.0285938
9.7, -0.0311366
9.75, -0.0316417
9.8, -0.0317421
9.851, -0.0317622
9.9, -0.031766
9.95, -0.0317668
10.001, -0.0317669
10.051, -0.031767
10.101, -0.031767
10.15, -0.031767
10.2, -0.031767
10.25, -0.031767
10.301, -0.031767
10.35, -0.031767
10.4, -0.031767
10.45, -0.031767
10.5, -0.031767
10.551, -0.031767
10.601, -0.031767
10.65, -0.031767
10.701, -0.0317671
10.751, -0.0317671
10.8, -0.0317671
10.851, -0.0317671
10.9, -0.0317671
10.95, -0.0317671
11, -0.0317671
11.05, -0.0317671
11.1, -0.0317671
11.15, -0.0317671
11.2, -0.0317671
11.25, -0.0317671
11.3, -0.0317672
11.35, -0.0317672
11.4, -0.0317672
11.45, -0.0317672
11.5, -0.0317672
11.55, -0.0317672
11.601, -0.0317672
11.65, -0.0317672
11.7, -0.0317672
11.751, -0.0317672
11.8, -0.0317672
11.851, -0.0317673
11.901, -0.0317673
11.95, -0.0317673
12, -0.0317673
12.05, -0.0317673
12.1, -0.0317673
12.15, -0.0317673
12.2, -0.0317673
12.25, -0.0317673
12.3, -0.0317674
12.351, -0.0317674
12.401, -0.0317674
12.45, -0.0317674
12.5, -0.0317674
12.55, -0.0317674
12.601, -0.0317674
12.651, -0.0317674
12.7, -0.0317674
12.75, -0.0317675
12.799, -0.0317675
12.849, -0.0317675
12.9, -0.0317675
12.95, -0.0317675
13, -0.0317675
13.05, -0.0317675
13.1, -0.0317675
13.15, -0.0317676
13.2, -0.0317676
13.25, -0.0317676
13.3, -0.0317676
13.35, -0.0317676
13.4, -0.0317676
13.451, -0.0317676
13.501, -0.0317676
13.55, -0.0317677
13.601, 0.0403364
13.65, 0.0587752
13.7, 0.0625896
13.75, 0.0633474
13.8, 0.0634978
13.85, 0.0635277
13.9, 0.0635336
13.95, 0.0635347
14, 0.0635349
14.051, 0.0635349
14.1, 0.0635349
14.15, 0.0635348
14.201, 0.0635348
14.25, 0.0635347
14.3, 0.0635347
14.35, 0.0635346
14.4, 0.0635346
14.45, 0.0635346
14.5, 0.0635345
14.55, 0.0635345
14.6, 0.0159735
14.649, 0.00327751
14.7, 0.000630393
14.751, 0.000121249
14.8, 2.48784e-05
14.85, 4.94228e-06
14.899, 1.01408e-06
14.95, 1.95047e-07
14.999, 4.00205e-08
15.05, 7.6975e-09
