sim_time, /gazebo/default/one_dynamixel_simulation/link2/MPU6050sensor/imu?p=/linear_acceleration/z
4.05, -0.000615438
4.1, -0.000615438
4.15, -0.000615438
4.2, -0.000615438
4.25, -0.000615438
4.3, -0.000615438
4.35, -0.000615438
4.4, -0.000615438
4.45, -0.000615438
4.5, -0.000615438
4.55, -0.000615438
4.6, -0.000615438
4.65, -0.000615438
4.7, -0.000615438
4.75, -0.000615438
4.8, -0.000615438
4.85, -0.000615438
4.901, -0.000615438
4.95, -0.000615438
5, -0.000615438
5.05, -0.000615438
5.1, -0.000615438
5.15, -0.000615438
5.2, -0.000615438
5.25, -0.000615438
5.3, -0.000615438
5.35, -0.000615438
5.4, -0.000615438
5.45, -0.000615438
5.5, -0.000615438
5.551, -0.000615438
5.601, -0.000592862
5.65, -0.00080915
5.7, -0.00070642
5.75, -0.00067381
5.8, -0.000655603
5.85, -0.000640258
5.9, -0.00062548
5.95, -0.000610815
6, -0.000596173
6.05, -0.000581535
6.1, -0.000566898
6.15, -0.000552262
6.201, -0.000537332
6.25, -0.000522696
6.3, -0.000508059
6.35, -0.000493422
6.401, -0.000478786
6.45, -0.000464149
6.5, -0.000449805
6.55, -0.000434876
6.6, -0.000420239
6.65, -0.000405895
6.701, -0.000390966
6.75, -0.000376622
6.8, -0.000361693
6.851, -0.000347056
6.901, -0.000332419
6.951, -0.000317783
7.001, -0.000303146
7.05, -0.000288802
7.1, -0.000274165
7.15, -0.000259236
7.201, -0.000244599
7.251, -0.000229963
7.3, -0.000215619
7.35, -0.000200982
7.4, -0.000186053
7.45, -0.000171709
7.499, -0.000157072
7.55, -0.000142436
7.6, 0.0507285
7.65, -0.0147952
7.7, -0.0514935
7.75, -0.07819
7.8, -0.102899
7.85, -0.127212
7.9, -0.151447
7.95, -0.175664
8, -0.199878
8.05, -0.22409
8.1, -0.2483
8.15, -0.272509
8.2, -0.296716
8.25, -0.320921
8.3, -0.345124
8.35, -0.369325
8.399, -0.393526
8.45, -0.417719
8.5, -0.441915
8.55, -0.466591
8.6, -0.490778
8.65, -0.514963
8.7, -0.539145
8.751, -0.563323
8.8, -0.587016
8.85, -0.611673
8.9, -0.635355
8.95, -0.660005
9, -0.683679
9.051, -0.70832
9.1, -0.731988
9.15, -0.756136
9.2, -0.780278
9.25, -0.804416
9.3, -0.828549
9.35, -0.852677
9.4, -0.876799
9.45, -0.900917
9.5, -0.925029
9.55, -0.949618
9.6, -1.07492
9.65, -0.968336
9.7, -0.919351
9.75, -0.890296
9.8, -0.865195
9.851, -0.840392
9.9, -0.816706
9.95, -0.792563
10.001, -0.767938
10.051, -0.743793
10.101, -0.719643
10.15, -0.695491
10.2, -0.671331
10.25, -0.647651
10.301, -0.623002
10.35, -0.599316
10.4, -0.575142
10.45, -0.550965
10.5, -0.526784
10.551, -0.502117
10.601, -0.47793
10.65, -0.453742
10.701, -0.429546
10.751, -0.405353
10.8, -0.381156
10.851, -0.356953
10.9, -0.333237
10.95, -0.309032
11, -0.284826
11.05, -0.260618
11.1, -0.236409
11.15, -0.212198
11.2, -0.187986
11.25, -0.163773
11.3, -0.139558
11.35, -0.11486
11.4, -0.0911255
11.45, -0.0664277
11.5, -0.0422093
11.55, -0.0179921
11.601, 0.0062267
11.65, 0.030441
11.7, 0.0546596
11.751, 0.0788778
11.8, 0.102608
11.851, 0.127308
11.901, 0.151523
11.95, 0.175736
12, 0.19995
12.05, 0.223679
12.1, 0.248371
12.15, 0.272098
12.2, 0.296787
12.25, 0.320511
12.3, 0.345195
12.351, 0.3694
12.401, 0.393597
12.45, 0.41731
12.5, 0.441504
12.55, 0.465696
12.601, 0.490368
12.651, 0.514554
12.7, 0.538253
12.75, 0.562432
12.799, 0.586606
12.849, 0.61078
12.9, 0.63495
12.95, 0.659113
13, 0.683274
13.05, 0.707912
13.1, 0.732065
13.15, 0.756213
13.2, 0.779875
13.25, 0.804012
13.3, 0.828145
13.35, 0.852755
13.4, 0.876398
13.451, 0.900997
13.501, 0.925109
13.55, 0.948734
13.601, 1.12327
13.65, 0.952435
13.7, 0.866741
13.75, 0.811995
13.8, 0.76223
13.85, 0.713639
13.9, 0.664293
13.95, 0.616928
14, 0.568574
14.051, 0.519246
14.1, 0.47184
14.15, 0.423456
14.201, 0.374094
14.25, 0.326658
14.3, 0.277272
14.35, 0.229834
14.4, 0.181404
14.45, 0.132001
14.5, 0.0835749
14.55, 0.0361157
14.6, -0.113858
14.649, -0.0316162
14.7, -0.00643946
14.751, -0.00134462
14.8, -0.000369945
14.85, -0.000179802
14.899, -0.000141147
14.95, -0.000133345
14.999, -0.000131778
15.05, -0.000131471
