sim_time, one_dynamixel_simulation/joint1?0/position
18.529, 0.00281369
18.53, 0.00281369
18.531, 0.00281369
18.532, 0.00281369
18.533, 0.00281369
18.534, 0.00281369
18.535, 0.00281369
18.536, 0.00281369
18.537, 0.00281369
18.538, 0.00281369
18.539, 0.00281369
18.54, 0.00281369
18.541, 0.00281369
18.542, 0.00281369
18.543, 0.00281369
18.544, 0.00281369
18.545, 0.00281369
18.546, 0.00281369
18.547, 0.00281369
18.548, 0.00281369
18.549, 0.00281369
18.55, 0.00281369
18.551, 0.00281369
18.552, 0.00281369
18.553, 0.00281369
18.554, 0.00281369
18.555, 0.00281369
18.556, 0.00281369
18.557, 0.00281369
18.558, 0.00281369
18.559, 0.00281369
18.56, 0.00281369
18.561, 0.00281369
18.562, 0.00281369
18.563, 0.00281369
18.564, 0.00281369
18.565, 0.00281369
18.566, 0.00281369
18.567, 0.00281369
18.568, 0.00281369
18.569, 0.00281369
18.57, 0.00281369
18.571, 0.00281369
18.572, 0.00281369
18.573, 0.00281369
18.574, 0.00281369
18.575, 0.00281369
18.576, 0.00281369
18.577, 0.00281369
18.578, 0.00281369
18.579, 0.00281369
18.58, 0.00281369
18.581, 0.00281369
18.582, 0.00281369
18.583, 0.00281369
18.584, 0.00281369
18.585, 0.00281369
18.586, 0.00281369
18.587, 0.00281369
18.588, 0.00281369
18.589, 0.00281369
18.59, 0.00281369
18.591, 0.00281369
18.592, 0.00281369
18.593, 0.00281369
18.594, 0.00281369
18.595, 0.00281369
18.596, 0.00281369
18.597, 0.00281369
18.598, 0.00281369
18.599, 0.00281369
18.6, 0.00281369
18.601, 0.00281369
18.602, 0.00281369
18.603, 0.00281369
18.604, 0.00281369
18.605, 0.00281369
18.606, 0.00281369
18.607, 0.00281369
18.608, 0.00281369
18.609, 0.00281369
18.61, 0.00281369
18.611, 0.00281369
18.612, 0.00281369
18.613, 0.00281369
18.614, 0.00281369
18.615, 0.00281369
18.616, 0.00281369
18.617, 0.00281369
18.618, 0.00281369
18.619, 0.00281369
18.62, 0.00281369
18.621, 0.00281369
18.622, 0.00281369
18.623, 0.00281369
18.624, 0.00281369
18.625, 0.00281369
18.626, 0.00281369
18.627, 0.00281369
18.628, 0.00281369
18.629, 0.00281369
18.63, 0.00281369
18.631, 0.00281369
18.632, 0.00281369
18.633, 0.00281369
18.634, 0.00281369
18.635, 0.00281369
18.636, 0.00281369
18.637, 0.00281369
18.638, 0.00281369
18.639, 0.00281369
18.64, 0.00281369
18.641, 0.00281369
18.642, 0.00281369
18.643, 0.00281369
18.644, 0.00281369
18.645, 0.00281369
18.646, 0.00281369
18.647, 0.00281369
18.648, 0.00281369
18.649, 0.00281369
18.65, 0.00281369
18.651, 0.00281369
18.652, 0.00281369
18.653, 0.00281369
18.654, 0.00281369
18.655, 0.00281369
18.656, 0.00281369
18.657, 0.00281369
18.658, 0.00281369
18.659, 0.00281369
18.66, 0.00281369
