20:07:57
X(G),Y(G),Z(G),X(A),Y(A),Z(A),T(ms)
-0.77,0.60,0.01,-1.35,0.38,-0.55,553750
-0.77,0.60,0.00,-1.37,0.20,-0.61,553800
-0.77,0.60,0.01,-1.33,0.37,-0.76,553850
-0.76,0.60,0.01,-1.51,0.18,-0.69,553900
-0.76,0.60,0.01,-1.46,0.13,-0.77,553950
-0.77,0.60,0.01,-1.27,0.22,-0.92,554000
-0.77,0.60,0.01,-1.30,0.15,-1.04,554050
-0.76,0.60,0.01,-1.43,0.38,-0.78,554100
-0.77,0.60,0.00,-1.34,0.28,-0.72,554150
-0.77,0.59,0.01,-1.42,0.19,-0.84,554200
-0.76,0.60,0.00,-1.40,0.09,-0.70,554250
-0.76,0.60,0.01,-1.34,0.37,-0.55,554300
-0.77,0.60,0.02,-1.47,0.24,-0.87,554350
-0.77,0.60,0.01,-1.37,0.33,-0.76,554400
-0.77,0.60,0.01,-1.34,0.21,-0.82,554450
-0.77,0.60,0.02,-1.43,0.27,-0.82,554500
-0.77,0.60,0.01,-1.14,0.25,-0.76,554550
-0.76,0.60,0.01,-1.53,0.26,-0.81,554600
-0.77,0.61,0.02,-1.38,0.29,-0.69,554650
-0.77,0.60,0.01,-1.46,0.25,-0.76,554700
-0.77,0.60,0.01,-1.56,0.14,-0.75,554750
-0.77,0.60,0.01,-1.34,0.30,-0.86,554800
-0.76,0.60,0.01,-1.25,0.28,-0.73,554850
-0.77,0.59,0.01,-1.32,0.26,-0.80,554900
-0.76,0.60,0.01,-1.38,0.17,-0.79,554950
-0.77,0.60,0.01,-1.47,0.29,-0.78,555000
-0.76,0.60,0.02,-1.22,0.30,-0.85,555050
-0.76,0.60,0.01,-1.41,0.18,-0.75,555100
-0.77,0.60,0.01,-1.18,-0.01,-0.81,555150
-0.76,0.60,0.01,-1.23,-0.14,-0.92,555200
-0.78,0.60,0.02,-1.05,-0.69,-1.02,555250
-0.77,0.60,0.02,-0.93,-0.29,-0.90,555300
-0.77,0.60,0.00,-1.25,0.16,-0.68,555350
-0.77,0.61,0.01,-1.24,0.18,-0.68,555400
-0.76,0.61,0.02,-1.43,0.38,-0.82,555450
-0.76,0.60,0.01,-1.32,0.27,-0.76,555500
-0.77,0.60,0.01,-1.28,0.41,-0.90,555550
-0.76,0.60,0.01,-1.54,0.51,-0.66,555600
-0.76,0.59,0.01,-1.09,-0.53,-1.17,555650
-0.77,0.59,0.03,-0.76,-0.62,-0.96,555700
-0.77,0.60,0.01,-1.49,0.53,-0.52,555750
-0.76,0.59,0.02,-1.09,-0.10,-0.84,555800
-0.77,0.60,0.02,-1.34,0.31,-0.79,555850
-0.78,0.61,-0.00,-1.44,0.47,-0.57,555900
-0.76,0.60,0.02,-1.32,0.23,-0.63,555950
-0.76,0.60,-0.00,-1.68,0.73,-0.51,556000
-0.77,0.60,0.00,-1.41,0.29,-0.76,556050
-0.77,0.60,0.01,-1.44,0.02,-0.69,556100
-0.76,0.60,0.01,-1.20,0.28,-0.62,556150
-0.77,0.60,0.01,-1.15,0.45,-0.77,556200
-0.76,0.60,0.01,-1.21,0.42,-0.58,556250
-0.77,0.60,0.00,-1.44,0.35,-0.78,556300
-0.77,0.60,0.01,-1.48,0.11,-0.82,556350
-0.76,0.60,0.01,-1.46,0.21,-0.85,556400
-0.77,0.60,0.01,-1.17,0.27,-0.74,556450
-0.76,0.60,0.01,-1.36,0.07,-0.70,556500
-0.77,0.60,0.01,-1.37,0.23,-0.72,556550
-0.77,0.60,0.01,-1.43,0.10,-0.81,556600
-0.76,0.60,-0.00,-1.55,0.53,-0.64,556650
-0.76,0.60,0.00,-1.50,0.29,-0.66,556700
-0.76,0.60,0.02,-1.31,-0.02,-0.74,556750
-0.77,0.60,0.01,-1.39,0.39,-0.95,556800
-0.76,0.60,0.01,-1.31,0.36,-0.82,556850
-0.76,0.60,0.00,-1.36,0.41,-0.50,556900
-0.75,0.60,0.00,-1.46,0.40,-0.82,556950
-0.77,0.60,0.01,-1.39,0.26,-0.77,557000
-0.77,0.60,0.01,-1.42,0.05,-0.67,557050
-0.77,0.60,0.01,-1.29,0.25,-0.66,557100
-0.76,0.61,0.01,-1.33,0.25,-0.80,557150
-0.76,0.60,0.01,-1.34,1.07,-0.73,557200
-0.77,0.58,0.05,1.05,1.57,-0.97,557250
-0.77,0.62,-0.01,-1.51,1.50,-0.76,557300
-0.77,0.62,-0.06,-0.24,3.23,-0.01,557350
-0.77,0.59,-0.02,0.80,1.55,-0.57,557400
-0.76,0.60,0.01,-0.03,1.48,-0.87,557450
-0.77,0.61,-0.02,-0.27,2.43,-0.40,557500
-0.77,0.58,0.01,0.09,2.22,-0.37,557550
-0.78,0.62,-0.07,-0.21,1.87,-0.47,557600
-0.76,0.59,0.01,1.40,1.69,-1.02,557650
-0.75,0.62,-0.01,0.31,3.18,-0.40,557700
-0.76,0.60,0.01,1.85,3.14,-0.59,557750
-0.76,0.59,0.01,0.31,2.28,-0.81,557800
-0.77,0.60,-0.01,0.56,3.36,-0.21,557850
-0.77,0.61,-0.02,-0.17,1.74,-0.27,557900
-0.76,0.59,-0.02,0.95,1.73,-0.90,557950
-0.76,0.61,-0.02,1.25,3.12,-0.81,558000
-0.76,0.59,-0.01,1.40,2.16,-0.87,558050
-0.77,0.58,-0.03,1.17,3.13,-0.57,558100
-0.78,0.57,0.01,2.01,1.18,-0.93,558150
-0.76,0.60,-0.03,0.38,2.92,-0.43,558200
-0.76,0.59,-0.00,1.31,3.56,-0.33,558250
-0.76,0.62,-0.06,0.73,2.65,-0.93,558300
-0.77,0.63,-0.10,-0.48,2.32,-0.61,558350
-0.77,0.60,-0.04,0.56,2.82,-0.50,558400
-0.76,0.61,-0.08,0.22,2.34,-0.64,558450
-0.76,0.62,-0.09,0.02,2.67,-0.65,558500
-0.77,0.60,-0.09,0.95,3.06,-0.56,558550
-0.77,0.60,-0.08,1.50,2.32,-0.59,558600
-0.77,0.61,-0.06,1.00,4.13,-0.55,558650
-0.76,0.58,-0.03,0.40,2.90,-0.70,558700
-0.76,0.63,-0.10,-0.72,0.60,-0.70,558750
-0.76,0.60,-0.09,0.50,3.31,-0.51,558800
-0.76,0.59,-0.04,1.06,2.39,-0.66,558850
-0.77,0.61,-0.11,-0.10,2.87,-0.53,558900
-0.76,0.62,-0.10,-1.39,0.39,-0.97,558950
-0.77,0.61,-0.09,-1.21,0.44,-0.77,559000
-0.77,0.61,-0.10,-2.44,2.39,0.24,559050
-0.77,0.61,-0.08,-2.05,-0.46,-0.74,559100
-0.76,0.60,-0.10,-2.80,-1.66,-0.72,559150
-0.76,0.60,-0.08,-2.85,-2.55,-1.05,559200
-0.77,0.58,-0.04,-4.01,-2.52,-0.85,559250
-0.76,0.58,-0.02,-3.05,-1.98,-0.98,559300
-0.76,0.61,-0.08,-4.37,-3.01,-1.16,559350
-0.77,0.62,-0.08,-3.52,-3.31,-1.29,559400
-0.78,0.61,-0.10,-3.59,-2.79,-0.66,559450
-0.75,0.60,-0.06,-3.27,-0.45,-0.36,559500
-0.77,0.60,-0.08,-2.28,-1.50,-0.69,559550
-0.76,0.62,-0.09,-2.89,-0.67,-0.75,559600
-0.75,0.59,-0.01,-2.39,-1.49,-0.90,559650
-0.76,0.58,-0.01,-2.33,-2.80,-1.23,559700
-0.77,0.59,-0.04,-2.87,-0.53,-0.48,559750
-0.76,0.62,-0.04,-3.88,-2.18,-1.08,559800
-0.76,0.63,-0.06,-4.41,-2.07,-1.10,559850
-0.75,0.60,0.02,-1.62,-1.38,-1.47,559900
-0.77,0.61,-0.02,-4.11,-1.72,-0.75,559950
-0.77,0.60,-0.02,-3.66,-2.19,-0.85,560000
-0.77,0.60,-0.02,-2.64,-2.45,-1.04,560050
-0.76,0.60,-0.02,-1.93,-1.95,-1.16,560100
-0.76,0.61,-0.04,-3.05,-1.76,-0.76,560150
-0.76,0.59,0.03,-3.22,-2.51,-0.93,560200
-0.77,0.60,-0.05,-2.63,-1.29,-0.71,560250
-0.78,0.61,-0.05,-2.60,-1.14,-0.66,560300
-0.77,0.60,-0.03,-2.51,-2.34,-0.62,560350
-0.76,0.59,0.03,-1.27,-1.90,-1.13,560400
-0.76,0.61,-0.01,-3.96,-1.08,-0.58,560450
-0.76,0.59,0.01,-2.31,-0.77,-0.79,560500
-0.77,0.59,-0.01,-2.66,-2.75,-1.10,560550
-0.77,0.60,-0.00,-3.27,-2.17,-0.83,560600
-0.84,0.75,-0.32,-17.35,-28.11,-4.08,560650
-0.68,0.46,0.71,-40.23,-96.54,-13.62,560700
-0.75,0.72,-0.41,-65.58,-45.14,2.31,560750
-0.66,0.56,-0.04,-66.81,-51.00,-2.93,560800
-0.81,0.04,1.21,-44.03,-97.60,-17.62,560850
-1.06,0.04,0.62,-36.81,-85.25,-5.95,560900
-0.53,0.69,0.16,-67.13,-45.73,1.36,560950
-0.41,0.22,0.72,-60.51,-78.96,-12.65,561000
-0.66,0.49,0.68,-63.13,-53.25,6.68,561050
-0.71,0.12,0.77,-34.90,-95.95,-8.93,561100
-0.59,0.12,0.89,-47.13,-60.84,0.32,561150
0.07,0.03,1.09,-59.20,-72.74,-9.04,561200
-0.44,0.29,0.71,-59.71,-69.23,-4.83,561250
-0.35,0.13,1.21,-39.66,-72.58,-1.54,561300
0.16,0.65,0.81,-77.41,-48.85,-6.69,561350
-0.27,-0.11,0.73,-51.33,-84.16,-5.40,561400
0.23,0.45,0.39,-88.38,-32.76,5.48,561450
0.66,0.39,1.34,-23.23,-8.01,-8.16,561500
0.02,0.08,0.84,46.12,76.60,6.85,561550
0.04,0.12,0.67,43.31,89.04,6.72,561600
-0.24,-0.05,1.02,57.26,55.72,3.66,561650
-0.21,0.24,0.64,51.87,80.78,7.01,561700
-0.11,0.27,0.70,39.06,93.63,10.01,561750
-0.31,0.43,0.54,42.17,78.38,5.71,561800
-0.36,0.29,0.55,43.25,85.96,8.08,561850
-0.45,-0.04,1.19,62.04,51.36,-1.40,561900
-0.51,0.51,0.58,44.60,86.34,11.35,561950
-0.53,0.62,0.30,51.15,71.01,1.92,562000
-0.46,0.41,0.80,56.79,64.68,-0.90,562050
-0.58,0.46,0.47,44.30,75.13,3.50,562100
-0.83,0.41,0.13,54.13,75.28,8.95,562150
-0.49,0.70,0.51,50.96,81.99,7.96,562200
-0.64,0.72,0.09,50.86,72.16,0.68,562250
-0.78,0.60,0.23,53.97,73.95,4.23,562300
-0.74,0.46,0.10,54.70,54.21,-0.56,562350
-0.76,0.61,-0.00,-0.54,0.38,-0.34,562400
-0.77,0.61,-0.02,-1.73,1.63,-0.19,562450
-0.77,0.61,0.01,-1.89,0.85,-0.80,562500
-0.76,0.61,0.02,-1.30,-0.38,-0.98,562550
-0.77,0.61,0.01,-1.64,0.32,-0.96,562600
-0.76,0.60,0.01,-1.33,0.16,-0.75,562650
-0.76,0.61,0.00,-1.55,0.45,-0.83,562700
-0.77,0.59,0.01,-0.93,-0.31,-0.73,562750
-0.77,0.61,0.02,-1.60,-0.06,-1.21,562800
-0.77,0.60,0.01,-1.47,0.43,-0.44,562850
-0.76,0.61,-0.01,-2.00,1.01,-0.60,562900
-0.78,0.61,0.02,-1.31,0.01,-0.73,562950
-0.77,0.60,0.01,-1.16,-0.11,-0.88,563000
-0.78,0.60,0.01,-1.34,0.37,-0.69,563050
-0.77,0.59,0.01,-1.40,0.40,-0.75,563100
-0.76,0.60,0.01,-1.60,0.28,-0.70,563150
-0.77,0.60,0.02,-0.93,-0.18,-0.83,563200
-0.77,0.60,0.03,-1.03,-0.20,-0.89,563250
-0.77,0.60,0.01,-1.39,0.15,-0.95,563300
-0.76,0.60,0.01,-1.57,0.28,-0.76,563350
-0.76,0.60,0.01,-1.42,0.25,-0.80,563400
-0.76,0.60,0.01,-1.34,0.12,-0.76,563450
-0.76,0.60,0.01,-1.26,0.19,-0.82,563500
-0.77,0.60,0.02,-1.33,0.04,-0.77,563550
-0.76,0.60,0.01,-1.36,0.40,-0.84,563600
-0.77,0.61,0.01,-1.39,0.34,-0.79,563650
-0.76,0.60,0.00,-1.44,0.40,-0.90,563700
-0.77,0.60,0.01,-1.20,0.04,-0.89,563750
-0.76,0.60,0.00,-1.37,0.31,-0.64,563800
-0.76,0.60,0.01,-1.36,0.26,-0.90,563850
-0.77,0.60,0.01,-1.29,0.31,-0.59,563900
-0.77,0.61,0.01,-1.31,0.34,-0.90,563950
-0.76,0.60,0.01,-1.29,0.31,-0.74,564000
-0.77,0.60,0.01,-1.03,0.05,-0.81,564050
-0.76,0.60,0.01,-1.29,0.01,-0.90,564100
-0.75,0.61,0.01,-1.16,0.05,-0.71,564150
-0.76,0.60,0.00,-1.47,0.19,-0.95,564200
-0.76,0.60,0.01,-1.37,0.56,-0.74,564250
-0.78,0.60,0.01,-1.31,0.27,-0.55,564300
-0.77,0.60,0.01,-1.40,0.23,-0.92,564350
-0.77,0.60,0.01,-1.24,0.08,-0.82,564400
-0.77,0.60,0.01,-1.21,0.22,-0.76,564450
-0.78,0.60,0.02,-1.30,-0.03,-0.92,564500
-0.77,0.60,0.01,-1.11,0.21,-0.60,564550
-0.77,0.60,0.01,-1.14,0.13,-0.78,564600
-0.77,0.60,0.01,-1.47,0.48,-0.80,564650
-0.77,0.60,0.01,-1.23,0.07,-0.79,564700
-0.78,0.59,0.01,-1.26,0.15,-0.79,564750
-0.77,0.60,0.01,-1.31,0.11,-0.91,564800
-0.77,0.59,0.01,-1.16,0.27,-0.89,564850
-0.76,0.60,0.00,-1.57,0.24,-0.62,564900
-0.78,0.61,0.02,-1.33,0.24,-0.74,564950
-0.77,0.60,0.01,-1.31,0.23,-0.74,565000
-0.77,0.60,0.01,-1.42,0.37,-0.83,565050
-0.76,0.60,0.01,-1.37,0.31,-0.78,565100
-0.76,0.61,0.00,-1.28,0.35,-0.89,565150
-0.75,0.60,0.01,-1.27,0.18,-0.73,565200
-0.76,0.60,0.01,-1.50,0.27,-0.66,565250
-0.76,0.60,0.01,-1.35,0.04,-0.84,565300
-0.77,0.60,0.00,-1.36,0.19,-0.86,565350
