20:02:40
X(G),Y(G),Z(G),X(A),Y(A),Z(A),T(ms)
-0.76,0.60,0.01,-1.36,0.16,-1.03,280750
-0.76,0.59,0.01,-1.34,0.08,-0.98,280800
-0.76,0.60,0.01,-1.19,0.24,-0.92,280850
-0.77,0.60,0.01,-1.31,0.37,-0.82,280900
-0.76,0.61,0.00,-1.44,0.18,-1.06,280950
-0.77,0.60,0.02,-1.34,0.22,-1.02,281000
-0.77,0.61,0.02,-1.11,0.21,-0.88,281050
-0.77,0.60,0.01,-1.43,0.24,-0.92,281100
-0.76,0.60,-0.01,-1.33,0.27,-0.88,281150
-0.77,0.60,0.01,-1.53,0.34,-0.98,281200
-0.77,0.59,0.00,-1.36,0.07,-0.89,281250
-0.77,0.60,0.01,-1.37,0.37,-0.82,281300
-0.77,0.59,0.01,-1.40,0.27,-1.01,281350
-0.77,0.60,0.02,-1.34,0.21,-0.80,281400
-0.76,0.61,0.01,-1.23,0.35,-0.92,281450
-0.77,0.60,0.01,-1.27,0.24,-0.89,281500
-0.77,0.60,0.01,-1.24,-0.05,-0.97,281550
-0.77,0.60,0.01,-1.23,0.12,-0.98,281600
-0.76,0.60,0.01,-1.31,0.21,-0.90,281650
-0.76,0.60,0.01,-1.29,0.15,-0.89,281700
-0.77,0.60,0.01,-1.28,0.20,-0.76,281750
-0.77,0.59,0.00,-1.24,0.32,-0.82,281800
-0.77,0.60,0.00,-1.34,0.20,-0.97,281850
-0.77,0.60,0.00,-1.34,0.31,-1.03,281900
-0.77,0.60,0.01,-1.44,0.41,-0.89,281950
-0.76,0.60,0.00,-1.31,0.20,-0.71,282000
-0.76,0.60,0.00,-1.40,0.27,-0.93,282050
-0.77,0.60,0.00,-1.27,0.21,-0.82,282100
-0.77,0.60,0.01,-1.17,0.15,-0.95,282150
-0.77,0.59,0.01,-1.18,0.11,-0.95,282200
-0.77,0.60,0.01,-1.40,0.09,-0.93,282250
-0.78,0.60,0.04,-0.90,0.11,-0.84,282300
-0.77,0.60,0.03,-0.91,-0.01,-0.93,282350
-0.77,0.59,0.01,-1.46,0.69,-0.70,282400
-0.78,0.60,0.02,-1.26,0.20,-1.02,282450
-0.77,0.60,0.01,-1.42,0.23,-0.97,282500
-0.76,0.60,0.00,-1.41,0.17,-0.75,282550
-0.77,0.60,0.01,-1.38,0.29,-0.91,282600
-0.77,0.60,0.01,-1.29,0.31,-0.69,282650
-0.76,0.60,-0.00,-1.29,0.26,-0.85,282700
-0.77,0.60,0.01,-1.44,0.32,-0.73,282750
-0.77,0.60,0.01,-1.33,0.34,-0.94,282800
-0.77,0.60,0.00,-1.27,0.25,-0.95,282850
-0.80,0.60,-0.06,-8.90,-5.14,-0.13,282900
-0.76,0.58,0.04,-9.32,-9.82,-1.34,282950
-0.79,0.57,0.06,-7.67,-11.21,-1.73,283000
-0.76,0.57,0.09,-6.30,-10.65,-2.20,283050
-0.75,0.62,0.04,-6.92,-8.15,-1.58,283100
-0.82,0.58,0.07,-8.03,-10.25,-1.08,283150
-0.75,0.57,0.09,-9.01,-7.79,-1.26,283200
-0.76,0.58,0.10,-6.57,-8.79,-1.82,283250
-0.74,0.58,0.13,-4.52,-2.76,-1.19,283300
-0.76,0.57,0.12,-0.98,-0.76,-1.20,283350
-0.76,0.58,0.12,-1.37,0.31,-1.00,283400
-0.76,0.59,0.10,-1.08,0.16,-1.05,283450
-0.75,0.59,0.10,-1.30,0.30,-1.03,283500
-0.75,0.59,0.10,-1.31,0.37,-0.93,283550
-0.76,0.58,0.10,-1.39,0.15,-1.10,283600
-0.76,0.58,0.11,-1.24,0.34,-0.87,283650
-0.76,0.58,0.09,-1.23,0.26,-0.88,283700
-0.76,0.59,0.10,-1.37,0.32,-0.80,283750
-0.76,0.59,0.11,-1.51,0.21,-0.97,283800
-0.76,0.59,0.11,-1.21,0.02,-1.11,283850
-0.76,0.59,0.10,-1.27,0.37,-0.78,283900
-0.76,0.59,0.10,-1.03,0.04,-1.07,283950
-0.75,0.58,0.11,-1.51,0.04,-0.85,284000
-0.76,0.59,0.10,-1.34,0.40,-0.89,284050
-0.76,0.59,0.10,-1.39,0.33,-1.05,284100
-0.76,0.59,0.10,-1.63,0.53,-0.76,284150
-0.76,0.58,0.11,-1.11,0.09,-0.88,284200
-0.75,0.59,0.11,-1.32,0.33,-0.89,284250
-0.76,0.59,0.11,-1.30,0.28,-0.99,284300
-0.76,0.59,0.09,-1.55,0.24,-0.85,284350
-0.75,0.59,0.10,-1.22,0.21,-0.96,284400
-0.77,0.59,0.09,-1.49,0.23,-1.00,284450
-0.76,0.59,0.11,-1.32,0.06,-1.05,284500
-0.76,0.59,0.11,-1.35,0.40,-1.01,284550
-0.77,0.59,0.10,-1.40,0.19,-1.01,284600
-0.76,0.59,0.10,-1.44,0.37,-0.99,284650
-0.76,0.58,0.10,-1.37,0.24,-1.02,284700
-0.76,0.58,0.10,-1.26,0.11,-1.01,284750
-0.76,0.59,0.10,-1.35,0.15,-0.89,284800
-0.76,0.59,0.10,-1.37,0.37,-0.94,284850
-0.77,0.59,0.10,-1.35,0.21,-0.92,284900
-0.76,0.59,0.10,-1.33,0.34,-1.03,284950
-0.77,0.59,0.11,-1.32,0.11,-0.87,285000
-0.76,0.59,0.11,-1.32,0.12,-0.98,285050
-0.76,0.59,0.11,-1.30,0.11,-1.10,285100
-0.76,0.58,0.11,-1.41,0.40,-0.98,285150
-0.76,0.58,0.11,-0.74,-0.43,-1.01,285200
-0.77,0.59,0.11,-1.08,0.01,-1.02,285250
-0.76,0.59,0.10,-1.42,0.18,-0.89,285300
-0.76,0.59,0.10,-1.44,0.40,-1.23,285350
-0.76,0.59,0.11,-1.40,0.18,-0.78,285400
-0.76,0.59,0.10,-1.24,0.28,-0.95,285450
-0.77,0.59,0.11,-1.18,0.36,-1.04,285500
-0.76,0.59,0.11,-1.25,0.31,-0.85,285550
-0.76,0.58,0.12,-1.65,0.50,-0.78,285600
