20:05:49
X(G),Y(G),Z(G),X(A),Y(A),Z(A),T(ms)
-0.77,0.60,0.01,-1.21,0.31,-1.05,443800
-0.76,0.60,0.00,-1.43,0.16,-0.90,443850
-0.76,0.60,0.00,-1.32,0.15,-0.93,443900
-0.76,0.60,0.02,-1.27,0.24,-1.02,443950
-0.77,0.60,0.00,-1.34,0.16,-0.98,444000
-0.77,0.60,0.01,-1.23,0.08,-1.05,444050
-0.77,0.60,0.01,-1.37,0.28,-0.92,444100
-0.76,0.60,0.01,-1.32,0.42,-0.94,444150
-0.77,0.60,0.01,-1.24,0.30,-0.92,444200
-0.76,0.60,0.01,-1.27,0.34,-0.92,444250
-0.77,0.60,0.01,-1.19,0.25,-0.96,444300
-0.77,0.60,0.01,-1.38,0.17,-0.73,444350
-0.77,0.60,0.01,-1.18,0.22,-1.01,444400
-0.76,0.60,0.01,-1.40,0.22,-0.86,444450
-0.77,0.60,0.01,-1.44,0.19,-0.82,444500
-0.78,0.60,0.02,-1.43,0.34,-0.90,444550
-0.81,0.53,0.15,2.75,-4.02,-1.57,444600
-0.76,0.61,-0.02,-1.63,0.74,-0.82,444650
-0.76,0.60,-0.01,-1.87,0.37,-1.13,444700
-0.77,0.60,-0.01,-1.28,0.34,-0.88,444750
-0.77,0.60,0.01,-1.26,0.25,-0.92,444800
-0.77,0.60,0.02,-1.30,-0.04,-0.82,444850
-0.77,0.60,0.01,-1.32,0.24,-0.79,444900
-0.77,0.61,0.00,-1.23,0.21,-1.03,444950
-0.76,0.60,0.01,-1.31,0.20,-1.03,445000
-0.76,0.59,0.01,-1.34,0.21,-0.88,445050
-0.77,0.60,0.00,-1.11,0.31,-0.89,445100
-0.77,0.60,0.01,-1.36,0.33,-0.89,445150
-0.76,0.60,0.01,-1.18,0.13,-0.86,445200
-0.77,0.60,0.02,-1.42,0.50,-1.11,445250
-0.76,0.59,0.01,-1.34,0.27,-0.92,445300
-0.76,0.60,0.02,-1.12,0.21,-0.86,445350
-0.77,0.59,0.02,-0.90,0.10,-0.78,445400
-0.77,0.60,0.02,-1.24,-0.01,-0.95,445450
-0.77,0.59,0.01,-1.16,-0.06,-1.00,445500
-0.77,0.60,0.01,-1.32,0.38,-0.89,445550
-0.77,0.60,0.01,-1.28,0.11,-1.01,445600
-0.77,0.59,0.01,-1.48,0.14,-0.82,445650
-0.76,0.60,0.00,-1.44,0.27,-1.06,445700
-0.77,0.60,-0.00,-1.39,0.25,-0.92,445750
-0.77,0.60,0.01,-1.35,0.24,-0.85,445800
-0.77,0.59,0.01,-1.38,0.29,-0.89,445850
