20:06:46
X(G),Y(G),Z(G),X(A),Y(A),Z(A),T(ms)
-0.77,0.60,0.01,-1.47,0.27,-0.85,492500
-0.78,0.60,-0.00,-1.31,0.18,-0.84,492550
-0.77,0.60,0.00,-1.31,0.40,-0.93,492600
-0.77,0.60,0.01,-1.17,0.24,-0.84,492650
-0.76,0.60,0.01,-1.26,0.28,-0.73,492700
-0.76,0.61,0.01,-1.31,0.21,-1.02,492750
-0.77,0.60,0.01,-1.38,0.37,-1.01,492800
-0.77,0.60,0.01,-1.37,0.40,-0.84,492850
-0.77,0.60,0.02,-1.30,0.25,-1.01,492900
-0.76,0.60,0.01,-1.37,0.27,-0.89,492950
-0.76,0.59,0.02,-1.37,0.08,-0.94,493000
-0.76,0.60,0.01,-1.24,0.13,-0.93,493050
-0.77,0.61,0.01,-1.23,0.11,-0.89,493100
-0.77,0.60,0.02,-1.40,0.09,-0.89,493150
-0.77,0.60,0.02,-1.22,0.27,-0.95,493200
-0.76,0.60,0.01,-1.31,0.31,-0.89,493250
-0.77,0.60,0.01,-1.56,0.42,-0.92,493300
-0.77,0.60,0.00,-1.49,0.16,-0.92,493350
-0.76,0.59,0.00,-1.34,-0.02,-0.98,493400
-0.77,0.60,0.00,-1.39,0.46,-0.83,493450
-0.77,0.59,0.01,-1.37,0.32,-0.82,493500
-0.77,0.60,0.01,-1.35,0.21,-0.82,493550
-0.77,0.60,0.01,-1.39,0.18,-0.89,493600
-0.77,0.60,0.01,-1.41,0.16,-1.02,493650
-0.76,0.60,0.01,-1.42,0.45,-0.80,493700
-0.77,0.60,0.01,-1.40,0.21,-0.92,493750
-0.76,0.60,0.01,-1.50,0.49,-1.08,493800
-0.77,0.59,0.01,-1.24,0.30,-0.90,493850
-0.77,0.61,0.01,-1.34,0.20,-0.92,493900
-0.77,0.60,0.00,-1.37,0.13,-1.11,493950
-0.77,0.60,0.01,-1.44,0.21,-0.74,494000
-0.77,0.60,0.01,-1.52,0.37,-0.82,494050
-0.77,0.61,0.02,-1.40,0.10,-0.85,494100
-0.77,0.59,0.01,-1.35,0.17,-0.85,494150
-0.77,0.60,0.02,-1.42,0.38,-0.98,494200
-0.77,0.60,0.00,-1.27,0.28,-0.89,494250
-0.77,0.60,0.01,-1.47,0.23,-1.01,494300
-0.77,0.60,0.01,-1.51,0.32,-1.08,494350
-0.78,0.60,0.02,-1.14,0.04,-0.82,494400
-0.77,0.59,0.02,-1.14,-0.44,-1.12,494450
-0.76,0.59,0.01,-1.17,0.13,-0.95,494500
-0.76,0.59,0.02,-1.29,0.34,-0.97,494550
-0.77,0.60,0.01,-1.22,0.11,-0.77,494600
-1.21,0.49,0.34,-82.99,-133.79,-13.37,494650
-1.03,0.59,-0.36,-118.90,-143.95,-7.87,494700
-0.98,0.19,0.18,-117.59,-148.65,-8.59,494750
-0.51,0.32,0.27,-118.24,-133.39,-9.88,494800
-0.64,0.17,0.58,-122.01,-142.66,-8.05,494850
-0.55,0.30,0.45,-111.79,-144.81,-13.91,494900
-0.05,0.15,0.86,-104.93,-134.27,-11.70,494950
-0.10,0.17,0.66,-119.91,-143.76,-12.92,495000
0.13,-0.66,1.92,-58.68,-105.89,-11.57,495050
0.14,0.02,0.93,-7.67,5.26,-1.05,495100
0.06,-0.09,0.94,-1.53,0.79,-1.10,495150
0.06,-0.09,0.94,-1.31,0.05,-1.26,495200
0.05,-0.10,0.92,-1.49,0.41,-1.21,495250
0.06,-0.09,0.95,-1.31,0.07,-1.06,495300
0.06,-0.09,0.94,-1.37,0.29,-1.11,495350
0.05,-0.10,0.94,-1.44,0.08,-1.14,495400
0.06,-0.10,0.94,-1.27,0.20,-1.29,495450
0.06,-0.10,0.94,-1.41,0.18,-1.04,495500
0.05,-0.10,0.95,-1.35,0.15,-1.02,495550
0.05,-0.09,0.94,-1.06,-0.05,-1.05,495600
0.06,-0.09,0.95,-1.26,-0.09,-1.05,495650
0.06,-0.10,0.95,-1.36,0.10,-0.94,495700
0.06,-0.08,0.95,-1.19,0.15,-0.83,495750
0.06,-0.10,0.94,-1.11,0.11,-1.05,495800
0.05,-0.10,0.94,-1.34,0.05,-0.99,495850
0.06,-0.09,0.96,-1.27,-0.05,-1.11,495900
0.06,-0.09,0.94,-1.38,0.31,-0.93,495950
0.06,-0.09,0.94,-1.24,0.18,-0.99,496000
0.06,-0.09,0.95,-1.32,0.13,-1.15,496050
0.05,-0.10,0.94,-1.42,0.33,-0.97,496100
0.06,-0.10,0.95,-1.28,0.18,-0.98,496150
0.06,-0.09,0.94,-1.24,0.01,-1.02,496200
0.06,-0.09,0.94,-1.34,0.34,-0.88,496250
0.06,-0.10,0.95,-1.45,0.31,-1.02,496300
0.06,-0.09,0.93,-1.41,0.42,-0.84,496350
0.05,-0.10,0.95,-1.18,0.17,-1.05,496400
0.06,-0.10,0.95,-1.39,0.21,-1.13,496450
0.05,-0.10,0.94,-1.44,0.53,-0.97,496500
0.05,-0.09,0.95,-1.40,0.29,-1.28,496550
0.06,-0.10,0.94,-1.50,0.67,-0.95,496600
0.05,-0.10,0.95,-1.14,0.08,-1.05,496650
0.06,-0.10,0.95,-1.23,0.31,-0.89,496700
0.06,-0.11,0.95,-1.44,0.46,-1.02,496750
0.06,-0.09,0.94,-1.27,0.02,-1.06,496800
0.06,-0.10,0.94,-1.49,0.08,-1.29,496850
0.06,-0.10,0.95,-1.28,0.32,-1.10,496900
0.06,-0.10,0.94,-1.34,0.06,-1.04,496950
0.06,-0.09,0.95,-1.32,0.11,-1.21,497000
0.06,-0.08,0.94,-1.34,0.36,-1.05,497050
0.06,-0.09,0.94,-1.47,0.56,-0.93,497100
0.06,-0.09,0.95,-1.18,-0.08,-1.14,497150
0.05,-0.10,0.95,-1.40,0.00,-1.14,497200
0.06,-0.10,0.94,-1.27,0.31,-1.05,497250
0.06,-0.11,0.93,-1.22,0.37,-1.04,497300
0.05,-0.10,0.94,-1.36,0.25,-0.91,497350
0.06,-0.08,0.95,-1.37,0.15,-0.98,497400
0.06,-0.10,0.94,-1.60,0.37,-1.22,497450
0.05,-0.10,0.92,-1.47,0.37,-0.85,497500
0.05,-0.10,0.94,-1.53,0.27,-0.96,497550
0.06,-0.10,0.95,-1.42,0.28,-0.98,497600
0.05,-0.10,0.94,-1.14,0.02,-1.08,497650
0.05,-0.10,0.94,-1.40,0.19,-1.07,497700
0.05,-0.10,0.94,-1.24,0.32,-0.98,497750
0.05,-0.09,0.95,-1.22,0.01,-1.08,497800
0.06,-0.09,0.95,-1.17,0.22,-0.93,497850
0.05,-0.11,0.95,-1.44,0.20,-1.05,497900
0.05,-0.10,0.95,-1.36,0.16,-1.07,497950
0.05,-0.10,0.94,-1.37,0.45,-0.87,498000
