sim_time, /gazebo/default/Melman/Right_Thigh/MPU6050sensor/imu?p=/angular_velocity/x
14.499, -0.0134751
14.549, -0.00792589
14.599, -0.000156897
14.649, -0.00736036
14.699, -0.0080506
14.749, -0.00911657
14.799, -0.0115781
14.849, 0.0048566
14.899, 0.00391001
14.949, 0.0282857
14.999, 0.0936575
15.049, 0.0064394
15.099, -0.0125262
15.149, -0.00924643
15.199, -0.00530589
15.249, 0.0178933
15.299, 0.107918
15.349, -0.00452819
15.399, -0.00658176
15.449, 0.0167435
15.499, 0.0245749
15.549, 0.0181163
15.599, -0.00683213
15.649, 0.00663485
15.699, 0.101504
15.749, -0.00415012
15.799, -0.00272874
15.849, 0.0190805
15.899, 0.098815
15.949, -0.00773602
15.999, -0.00274465
16.049, -0.000586841
16.099, 0.00643708
16.149, 0.00148283
16.199, 0.107267
16.249, -0.00847717
16.299, -0.00104208
16.349, -0.00121422
16.399, 0.00833392
16.449, -0.0188674
16.499, -0.0144115
16.549, 0.00308875
16.599, 0.015151
16.649, 0.0290167
16.699, 0.0283152
16.749, -0.0221166
16.799, -0.0181287
16.849, 0.00916551
16.899, 0.00492641
16.949, 0.025133
