sim_time, /gazebo/default/Melman/Right_Thigh/MPU6050sensor/imu?p=/linear_acceleration/x
15.799, 7.51422
15.849, 7.38256
15.899, 7.58556
15.949, 7.41177
15.999, 7.50197
16.049, 7.51054
16.099, 7.50948
16.149, 7.32482
16.199, 7.58682
16.249, 7.43549
16.299, 7.50674
16.349, 7.505
16.399, 7.50424
16.449, 7.44942
16.499, 7.47031
16.549, 7.46876
16.599, 7.40643
16.649, 7.51713
16.699, 7.48402
16.749, 7.50609
16.799, 7.48977
16.849, 7.47849
16.899, 7.38356
16.949, 7.50195
