sim_time, /gazebo/default/Melman/Right_Thigh/MPU6050sensor/imu?p=/linear_acceleration/z
14.949, 3.95909
14.999, 4.13549
15.049, 4.00243
15.099, 3.96146
15.149, 3.9951
15.199, 4.00546
15.249, 3.85515
15.299, 3.9144
15.349, 4.0845
15.399, 4.01962
15.449, 3.851
15.499, 3.96464
15.549, 4.02558
15.599, 4.03336
15.649, 3.69775
15.699, 4.13793
15.749, 4.03736
15.799, 3.96522
15.849, 3.74289
15.899, 4.1373
15.949, 4.02194
15.999, 3.97726
16.049, 3.96625
16.099, 4.03529
16.149, 3.68293
16.199, 4.14634
16.249, 3.99502
16.299, 3.99221
16.349, 3.96218
16.399, 4.04668
16.449, 3.89276
16.499, 3.97607
16.549, 4.05737
16.599, 3.85293
16.649, 3.95576
16.699, 3.95003
16.749, 4.04372
16.799, 3.96061
16.849, 4.054
16.899, 3.86447
16.949, 3.98289
