sim_time, /gazebo/default/Melman/Right_Thigh/MPU6050sensor/imu?p=/angular_velocity/z
12.349, 0.0237378
12.399, 0.0596981
12.449, -0.0169865
12.499, -0.020655
12.549, 0.00158476
12.599, 0.0639901
12.649, -0.00841371
12.699, 0.0245802
12.749, -0.00456759
12.799, -0.0105321
12.849, 0.0290197
12.899, 0.00344501
12.949, 0.0285914
12.999, 0.0128983
13.049, -0.025362
13.099, -0.025503
13.149, -0.0215597
13.199, -0.0167081
13.249, -0.0194163
13.299, -0.0218298
13.349, -0.0196623
13.399, -0.0177103
13.449, -0.015416
13.499, -0.0192432
13.549, -0.0175747
13.599, -0.0177283
13.649, -0.0153494
13.699, -0.0174418
13.749, -0.0172262
13.799, -0.0171062
13.849, -0.0150066
13.899, -0.0156848
13.949, -0.0173031
13.999, -0.0159115
14.049, -0.0147382
14.099, -0.0147388
14.149, -0.0168488
14.199, -0.0142681
14.249, -0.0142922
14.299, -0.0127804
14.349, -0.0135108
14.399, -0.0133568
14.449, -0.0118581
14.499, -0.0134381
14.549, -0.0144426
14.599, -0.0136201
14.649, -0.0112328
14.699, -0.0123752
14.749, -0.01332
14.799, -0.0130264
14.849, 0.0521352
14.899, 0.0232119
14.949, 0.0281199
14.999, 0.0373875
15.049, 0.00882728
15.099, -0.0255881
15.149, 0.0317186
15.199, 0.0388376
15.249, 0.0157705
15.299, 0.0173151
15.349, -0.0347635
15.399, 0.0366644
15.449, 0.0227956
15.499, 0.010363
15.549, -0.0120309
15.599, 0.0262081
15.649, 0.0287102
15.699, 0.0510207
15.749, -0.00515501
15.799, -0.0157233
15.849, 0.0253697
15.899, 0.052241
15.949, 0.000816432
15.999, -0.00920641
16.049, -0.019419
16.099, 0.023226
16.149, 0.0225022
16.199, 0.0645409
16.249, 0.00177121
16.299, -0.0128218
16.349, -0.0200599
16.399, 0.027574
16.449, -0.0255929
16.499, -0.0212388
16.549, 0.0456912
16.599, 0.0160038
16.649, 0.00425549
16.699, 0.00749349
16.749, -0.0274715
16.799, -0.0219851
16.849, 0.0470961
16.899, 0.0197165
16.949, 0.00684905
