sim_time, /gazebo/default/Melman/Right_Thigh/MPU6050sensor/imu?p=/angular_velocity/y
12.649, 0.0322604
12.699, 0.0458473
12.749, 0.140714
12.799, 0.137871
12.849, 0.0161634
12.899, 0.0521203
12.949, -0.00185483
12.999, 0.152384
13.049, 0.141114
13.099, 0.137745
13.149, 0.139573
13.199, 0.141694
13.249, 0.146161
13.299, 0.14949
13.349, 0.151294
13.399, 0.152197
13.449, 0.150019
13.499, 0.148807
13.549, 0.147821
13.599, 0.150403
13.649, 0.152539
13.699, 0.155587
13.749, 0.155345
13.799, 0.15545
13.849, 0.153512
13.899, 0.153359
13.949, 0.155332
13.999, 0.155397
14.049, 0.156736
14.099, 0.15864
14.149, 0.158311
14.199, 0.156866
14.249, 0.155767
14.299, 0.155684
14.349, 0.157042
14.399, 0.159185
14.449, 0.0444242
14.499, 0.0464874
14.549, 0.0424208
14.599, 0.0382177
14.649, 0.0414299
14.699, 0.0450886
14.749, 0.047933
14.799, 0.0490779
14.849, 0.0461725
14.899, -0.116435
14.949, -0.130083
14.999, 0.0238496
15.049, 0.00340703
15.099, 0.0468668
15.149, 0.052872
15.199, 0.056679
15.249, -0.018897
15.299, -0.0152844
15.349, 0.0414299
15.399, 0.0531286
15.449, -0.015752
15.499, -0.0144507
15.549, 0.0159451
15.599, 0.0554668
15.649, -0.12385
15.699, 0.0216798
15.749, 0.0207243
15.799, 0.0251036
15.849, -0.116825
15.899, 0.0400952
15.949, 0.0205774
15.999, 0.022303
16.049, 0.0240293
16.099, 0.0507411
16.149, -0.121567
16.199, 0.0338349
16.249, 0.0197048
16.299, 0.0222559
16.349, 0.0247308
16.399, 0.0576466
16.449, 0.0433678
16.499, 0.0464138
16.549, 0.0615662
16.599, -0.0182526
16.649, -0.0181821
16.699, -0.0113348
16.749, 0.0502109
16.799, 0.052154
16.849, 0.0604533
16.899, -0.0160745
16.949, -0.021237
