sim_time, one_dynamixel_simulation/joint1?0/velocity
1.703, -1.52767e-13
1.704, -1.42109e-13
1.705, -1.42109e-13
1.706, -1.42109e-13
1.707, -1.42109e-13
1.708, -1.42109e-13
1.709, -1.42109e-13
1.71, 2.70006e-13
1.711, 6.75015e-14
1.712, 6.75015e-14
1.713, 6.75015e-14
1.714, 6.75015e-14
1.715, 6.75015e-14
1.716, 6.75015e-14
1.717, 6.75016e-14
1.718, 6.75016e-14
1.719, 6.75016e-14
1.72, 6.75016e-14
1.721, 6.75016e-14
1.722, -1.52767e-13
1.723, -1.42109e-13
1.724, -1.42109e-13
1.725, -1.42109e-13
1.726, -1.42109e-13
1.727, -1.42109e-13
1.728, -1.42109e-13
1.729, 2.70006e-13
1.73, 6.75016e-14
1.731, 6.75016e-14
1.732, 6.75016e-14
1.733, 6.75016e-14
1.734, 6.75016e-14
1.735, 6.75016e-14
1.736, 6.75016e-14
1.737, 6.75016e-14
1.738, 6.75016e-14
1.739, 6.75016e-14
1.74, -1.52767e-13
1.741, -1.42109e-13
1.742, -1.42109e-13
1.743, -1.42109e-13
1.744, -1.42109e-13
1.745, -1.42109e-13
1.746, -1.42109e-13
1.747, 2.70006e-13
1.748, 6.75015e-14
1.749, 6.75015e-14
1.75, 6.75015e-14
1.751, 6.75015e-14
1.752, 6.75015e-14
1.753, 6.75015e-14
1.754, 6.75016e-14
1.755, 6.75016e-14
1.756, 6.75016e-14
1.757, 6.75016e-14
1.758, 6.75016e-14
1.759, -1.52767e-13
1.76, -1.42109e-13
1.761, -1.42109e-13
1.762, -1.42109e-13
1.763, -1.42109e-13
1.764, -1.42109e-13
1.765, -1.42109e-13
1.766, 2.70006e-13
1.767, 6.75016e-14
1.768, 6.75016e-14
1.769, 6.75016e-14
1.77, 6.75016e-14
1.771, 6.75016e-14
1.772, 6.75016e-14
1.773, 6.75016e-14
1.774, 6.75016e-14
1.775, 6.75016e-14
1.776, 6.75016e-14
1.777, 6.75016e-14
1.778, -1.52767e-13
1.779, -1.42109e-13
1.78, -1.42109e-13
1.781, -1.42109e-13
1.782, -1.42109e-13
1.783, -1.42109e-13
1.784, -1.42109e-13
1.785, 2.70006e-13
1.786, 6.75015e-14
1.787, 6.75015e-14
1.788, 6.75015e-14
1.789, 6.75015e-14
1.79, 6.75015e-14
1.791, 6.75015e-14
1.792, 6.75016e-14
1.793, 6.75016e-14
1.794, 6.75016e-14
1.795, 6.75016e-14
1.796, 6.75016e-14
1.797, -1.52767e-13
1.798, -1.42109e-13
1.799, -1.42109e-13
1.8, -1.42109e-13
1.801, -1.42109e-13
1.802, -1.42109e-13
1.803, -1.42109e-13
1.804, 2.70006e-13
1.805, 6.75016e-14
1.806, 6.75016e-14
1.807, 6.75016e-14
1.808, 6.75016e-14
1.809, 6.75016e-14
1.81, 6.75016e-14
1.811, 6.75016e-14
1.812, 6.75016e-14
1.813, 6.75016e-14
1.814, 6.75016e-14
1.815, 6.75016e-14
1.816, -1.52767e-13
1.817, -1.42109e-13
1.818, -1.42109e-13
1.819, -1.42109e-13
1.82, -1.42109e-13
1.821, -1.42109e-13
1.822, -1.42109e-13
1.823, 2.70006e-13
1.824, 6.75015e-14
1.825, 6.75015e-14
1.826, 6.75015e-14
1.827, 6.75015e-14
1.828, 6.75015e-14
1.829, 6.75015e-14
1.83, 6.75016e-14
1.831, 6.75016e-14
1.832, 6.75016e-14
1.833, 6.75016e-14
1.834, 6.75016e-14
1.835, -1.52767e-13
1.836, -1.42109e-13
1.837, -1.42109e-13
1.838, -1.42109e-13
1.839, -1.42109e-13
1.84, -1.42109e-13
1.841, -1.42109e-13
1.842, 2.70006e-13
1.843, 6.75016e-14
1.844, 6.75016e-14
1.845, 6.75016e-14
1.846, 6.75016e-14
1.847, 6.75016e-14
1.848, 6.75016e-14
1.849, 6.75016e-14
1.85, 6.75016e-14
1.851, 6.75016e-14
1.852, 6.75016e-14
1.853, 6.75016e-14
1.854, -1.52767e-13
1.855, -1.42109e-13
1.856, -1.42109e-13
1.857, -1.42109e-13
1.858, -1.42109e-13
1.859, -1.42109e-13
1.86, -1.42109e-13
1.861, 2.70006e-13
1.862, 6.75015e-14
1.863, 6.75015e-14
1.864, 6.75015e-14
1.865, 6.75015e-14
1.866, 6.75015e-14
1.867, 6.75015e-14
1.868, 6.75016e-14
1.869, 6.75016e-14
1.87, 6.75016e-14
1.871, 6.75016e-14
1.872, 6.75016e-14
1.873, -1.52767e-13
1.874, -1.42109e-13
1.875, -1.42109e-13
1.876, -1.42109e-13
1.877, -1.42109e-13
1.878, -1.42109e-13
1.879, -1.42109e-13
1.88, 2.70006e-13
1.881, 6.75016e-14
1.882, 6.75016e-14
1.883, 6.75016e-14
1.884, 6.75016e-14
1.885, 6.75016e-14
1.886, 6.75016e-14
1.887, 6.75016e-14
1.888, 6.75016e-14
1.889, 6.75016e-14
1.89, 6.75016e-14
1.891, -1.52767e-13
1.892, -1.42109e-13
1.893, -1.42109e-13
1.894, -1.42109e-13
1.895, -1.42109e-13
1.896, -1.42109e-13
1.897, -1.42109e-13
1.898, 2.70006e-13
1.899, 6.75015e-14
1.9, 6.75015e-14
1.901, 6.75015e-14
1.902, 6.75015e-14
1.903, 6.75015e-14
1.904, 6.75015e-14
1.905, 6.75016e-14
1.906, 6.75016e-14
1.907, 6.75016e-14
1.908, 6.75016e-14
1.909, 6.75016e-14
1.91, -1.52767e-13
1.911, -1.42109e-13
1.912, -1.42109e-13
1.913, -1.42109e-13
1.914, -1.42109e-13
1.915, -1.42109e-13
1.916, -1.42109e-13
1.917, 2.70006e-13
1.918, 6.75016e-14
1.919, 6.75016e-14
1.92, 6.75016e-14
1.921, 6.75016e-14
1.922, 6.75016e-14
1.923, 6.75016e-14
1.924, 6.75016e-14
1.925, 6.75016e-14
1.926, 6.75016e-14
1.927, 6.75016e-14
1.928, 6.75016e-14
1.929, -1.52767e-13
1.93, -1.42109e-13
1.931, -1.42109e-13
1.932, -1.42109e-13
1.933, -1.42109e-13
1.934, -1.42109e-13
1.935, -1.42109e-13
1.936, 2.70006e-13
1.937, 6.75015e-14
1.938, 6.75015e-14
1.939, 6.75015e-14
1.94, 6.75015e-14
1.941, 6.75015e-14
1.942, 6.75015e-14
1.943, 6.75016e-14
1.944, 6.75016e-14
1.945, 6.75016e-14
1.946, 6.75016e-14
1.947, 6.75016e-14
